InputStoryid,输入句子1,输入句子2,输入句子3,输入句子4,随机第五句话测验1,随机第五句话测验2,回答右端
0fe46de6-6ee3-4932-a578-268917372566,在学校里，玛丽接到一个任务，要写一篇关于熊猫的作文。,幸运的是，玛丽很喜欢熊猫，因为很兴奋地开始了。,一回到家，玛丽就开机，开始。,她把自己所知道的一切都写了出来，也研究了一下!,玛丽不喜欢潘达。,玛丽迫不及待地提出她的报告。,2
625d1e13-8bd3-40b3-ac45-0b16a549fc69,艾伦梦想着她的玫瑰花能得奖。,她打算在博览会上参加她的特殊紫玫瑰。,她给玫瑰花丛施肥，每天晚上给玫瑰花丛盖上。,玫瑰花一天比一天漂亮。,艾伦最终赢得了奖金。,艾伦不得不为她的借书证补交费用。,1
aa615e4f-83c1-4b65-96a4-6a989d253a52,杰西刚上五年级。,他想和其他男生交朋友，但他做不到。,他决定改和女生交朋友。,她们女生很高兴地欢迎他加入她们的社交团体。,杰西和他的新朋友罗杰一起去了公园。,杰西在学校被其他男生欺负。,2
fa0d318c-d286-4c8e-adda-c2590f100f02,蒂芙尼在工作上越来越力不从心。,虽然她喜欢自己的工作，但她渴望休息一下。,有一天，她在外面被不平的路面绊倒了。,她的脚踝骨折了，不得不停工几个月。,蒂芙尼第二天就去上班了。,她很痛苦，但很高兴不用去上班。,2
501c6884-8885-4df3-ae8c-f3f9328fde54,吉娜在爷爷奶奶那里把手机放错了。,它不在客厅里。,她在客厅打盹之前，一直在车上。,她抓起爸爸的钥匙就往外跑。,但她不想要她的手机了。,她在车里发现了她的手机。,2
8d9f72c4-7f31-4e86-8511-e921fd8f78bb,爱丽丝几周后就要结婚了。,有一天晚上，她妈妈打电话来，她忘了给她回电话。,她的母亲在手机上留下了一条愤怒的信息。,她威胁说不会来参加婚礼。,爱丽丝给母亲打了个电话，深深地道歉。,爱丽丝给一个在Tinder上看到的帅哥发信息。,1
ba87797c-dc31-402b-8740-d30c093d4df7,泰德喜欢去看电影,他几乎和所有人见面，在奥斯卡颁奖典礼上投票。,他为奥斯卡开了个大派对，他们都下了注。,泰德几乎总是在他选择的电影中获胜。,泰德继续每周看几部电影。,他决定不再看电影。,1
384621a9-d9b6-436d-8914-61a93d916015,尼亚曾在和朋友们的彩弹旅行中被问到。,她很紧张，因为要去。,但她还是去了，希望能玩得开心。,她向她的朋友们发射彩弹，并一直在笑。,她非常喜欢，计划下周去旅行。,她中枪了，发誓再也不去那里了。,1
f531b039-67a6-4797-989d-24f716ed4073,哈维尔在学校的所有朋友都有智能手机。,不过，他使用的还是老式的翻盖手机。,有一天，他决定也买一部智能手机。,刚开始他喜欢走到哪里都能上网。,哈维尔决定买一部智能手机。,但他又想念他的旧手机。,2
60facd71-c194-427a-9127-471d5844785e,瑞秋决定在当地的献血活动中献血。,她有些紧张，因为这是她的第一次。,第二天，瑞秋接到了医生的电话，她看到。,医生告诉她，他有一个坏消息。,瑞秋哭了起来。,瑞秋兴奋地开始月球漫步。,1
d4aff04b-ba93-4cff-8b35-7eb10dd9e23f,罗恩正在看电视上的高速追逐。,警察在附近追捕坏人。,太可怕了！,但后来警察抓到了坏人。,罗恩开始收集瓶盖。,罗恩对这位官员的表现表示赞赏。,2
8db8ec1c-1d94-4f9d-b71d-3b533e30a1c5,山姆喜欢他的旧皮带。,他什么都配得上。,可惜他胖了太多。,它变得太小了。,山姆去节食了。,萨姆很高兴。,1
696b1a71-b684-45ec-8435-7b48274ee411,拉里买了一辆新摩托车。,他很兴奋，看起来很酷。,他第一次尝试骑它的时候，就把它摔了。,他的腿受伤了，不得不去医院。,拉里喜欢去医院。,拉里变得小心翼翼。,2
1d14ed7d-5a05-476b-bfab-3e3568a0dd6b,几天前我去相亲了。,她很可爱，也很友好。,我们是通过一个同事撮合的。,我们似乎有一些共同点。,很快，我们就成了男女朋友，并想到了结婚。,我们马上就分手了。,1
9f32f9ef-0b7b-461b-953f-3d7da39bac87,萨米的咖啡研磨机坏了。,他需要一些东西来压碎他的咖啡豆。,他把咖啡豆放在塑料袋里。,他试着用锤子把它们砸碎。,萨米不是那么喜欢喝咖啡。,这对萨米很有效,2
3972aeda-e5f8-4776-abbb-8566bf38930a,上周贾里德开车去上班。,前一天晚上，他一直在狂欢。,他没睡好。,在他意识到之前，他的车正面临着迎面而来的车流。,贾瑞德迅速转向，成功避免了碰撞。,贾里德决定加速。,1
411b9523-5254-41ff-b740-e039d0423201,乔在花园里种了一大批豌豆。,他把豌豆拿进屋里，全部剥了壳。,然后他把它们放在大锅里煮了起来。,他加入了火腿、培根和胡萝卜，做成浓浓的豌豆汤。,乔一边吃着美味的汤，一边想着在花园里工作。,乔把锅倒在外面，因为他讨厌汤。,1
36b638c3-f2d1-44dc-bab1-5bf2a9d7fdff,艾丽莎有一个失散多年的前男友，她一定要找到。,问题是，他搬到了一个新的州。,她决定用Facebook来找他。,她找到了他，但他已经结婚了，还有孩子。,艾丽莎很伤心，但她再也没有联系过他。,他爱上了阿里扎，他们结婚了。,1
80b6447f-4c37-4194-9862-3785e5075463,丽娜去看糖葫芦是怎么做的。,她看着工人们在热糖中添加染料。,然后，他们把它拉长，让它变得闪闪发光。,最后，他们把它塑造成一根藤条，让它冷却。,丽娜现在知道，糖罐头很无聊。,丽娜觉得自己对糖果罐有了新的认识。,2
dd3506fe-31ce-4bbb-9000-02c222da3466,刚搬进我家的时候，我还不认识我的邻居。,有一天，我在割草的时候，发现院子里有一个踢球。,我觉得这是认识邻居的绝佳机会。,我抓起球，到隔壁去还。,他们非常友好。,我把踢球从他们关着的窗户扔了出去。,1
ad42188e-383b-4c7d-9cd9-906725b7ce12,小贝一直很努力地学习。,她迫不及待地想过周末。,来的时候，她睡得很晚。,然后她就起身出去聚会了。,到了周日晚上，小贝又筋疲力尽了。,贝芙拿着信，喂鱼，就像她每天做的那样。,1
f8ff777f-de4d-4e3a-91bd-b197ed13f78e,三周前我们去了Frank Pepe的披萨店。,这家连锁店在康涅狄格州相当有名。,这家连锁店最近在波士顿开业。,我们早早的就去了，为的是抢占先机。,我们在镇子对面的公园里遛了5条哮天犬。,我们在Frank Pepe的披萨店吃了一个很棒的披萨。,2
dfdf2b81-86fa-48f0-8a47-488ccf3e086b,伯尼斯一直想去非洲旅行。,伯尼斯决定明年生日时要去旅行。,伯尼斯开始看行程的机票价格。,此外，伯尼斯还查了一下酒店的价格。,伯尼斯去欧洲过生日。,伯尼斯决定买张飞机票，订个房间。,2
de06c035-4c96-4ed0-89c2-3ce71e99e9d1,吉姆做了菠菜饼干。,他以每件五元的价格卖给了他们。,没有人买任何。,然而，在最后一刻，一个人要了20。,他很惊讶，但也很感激。,吉姆以为他疯了，就离开了。,1
f547c9a1-be95-439d-922d-1417d7f6b818,兰迪的朋友给了他去他家的方向。,他应该在白宫后右转。,兰迪继续迷路。,他不断地往回走，直到终于找到了它。,兰迪告诉他的朋友，他找到了它，他是多么的欣慰。,兰迪看到了房子，但一直在开车，没有回来。,1
195a43c7-d43e-48e4-845b-fd6c75609df2,我决定和弟弟一起去骑自行车。,我们俩早上就出发了。,我们玩得很开心。,突然，他撞上了一块石头，把车轮撞断了!,看我哥撞车很有趣。,我为我弟弟感到非常难过。,2
a11cf506-7d19-4ab9-b0ac-a0fd85a9bd38,安娜去了美容院。,她是第一次做指甲。,她很紧张，但技术人员很友好。,他给她做的指甲又快又专业。,安娜离开美容院的时候，感觉非常时尚。,安娜很喜欢她的新发型。,1
b8c30925-f572-4ac3-b865-1cba592b6f0c,大卫和莎拉是童年时的朋友。,上大学的时候，他们各自搬到了不同的城市。,莎拉在周五接到了大卫的意外电话。,他们吃过晚饭，聊过生活。,莎拉很高兴他们能够叙旧。,莎拉和大卫去了 去吃晚饭后的权利。,1
0a5489f1-beea-4ad6-a6d5-380ba2abd184,AJ和他妈妈在杂货店里。,阿杰正在看麦片盒，当他抬头时，他的妈妈已经不见了。,他立刻开始感到恐慌。,然后，他的妈妈从一个汤的展示后面走了出来。,AJ就开始感到悲伤。,AJ松了一口气。,2
fe3caede-4b19-410a-b08f-84d71b18e9f4,乔去垃圾场找宝物。,他在一堆旧衣服中挖出了。,底下是一件复古的衬衫，上面有一支摇滚乐队。,乔把衬衫穿上试试。,乔很高兴衬衫合身。,乔后来恨上了摇滚乐。,1
e689960d-0515-424b-aac3-5d7160ac2577,普丽雅决定尝试一家新的餐厅。,她开车来到一家新开的咖啡馆。,普里雅坐在一个亭子里。,她点了一份含羞草和一份早餐卷饼。,普里亚觉得她的食物很好吃。,普丽娅决定不吃，就离开了。,1
57d5152a-77db-4156-8330-166edb36b0a2,凯伦在大学第一年就被分配了一个室友。,有一天，她的室友约她去附近的城市看演唱会。,凯伦高兴地答应了。,这场演出绝对是令人振奋的。,凯伦讨厌她的室友。,凯伦和她的室友成了好朋友。,2
726a0fc9-8c6f-451e-838b-c48140817dfc,去年我们全家去海边度假。,我和妈妈在海边看书的时间很多。,有一天，我在看书的时候，被一只可怕的沙滩蜂蜇了。,我的手臂肿了，很痛，我几乎要去医院。,最终，我的病好了。,我发现我喜欢肿胀的感觉。,1
696b9d6a-40a4-434d-8a01-aec20c4400a3,唐纳德是那种类小丑。,他想当班长。,所以他认为如果他表现得像个白痴，人们就会投票给他。,他会站起来就大喊大叫，傻乎乎的。,唐讨厌选举。,唐纳德希望这种愚蠢的行为能让他赢得选举。,2
16eeb330-b579-4a0f-a1e6-0b7aad454c54,艾迪和安吉拉已经很久没有交谈了。,他们像陌生人一样一起住在家里。,最后，他们坐下来，一致认为，该离婚了。,艾迪去法院递交了文件。,几个月后他们就离婚了。,他们重归于好，永远在一起。,1
ed614284-2364-4b9c-bc02-5e0aad3d8968,十多年前，Rachel收养了一只猫。,突然，猫咪表现得更加慵懒，体重也下降了。,担心之下，瑞秋带着猫咪去看兽医。,兽医告诉瑞秋，她的猫咪得了癌症。,瑞秋听到这个消息很兴奋。,兽医对她的猫的癌症进行了最好的治疗。,2
87678fdf-ad4e-4ff0-93d0-039fa451b49b,吉姆是个新司机，以前从未被拦下过。,昨天他因为超速被拦下。,警官向他解释了为什么给他开罚单。,吉姆将不得不加班来支付票款。,吉姆很不高兴。,吉姆见到官员很高兴。,1
33882739-51ca-446f-8bd0-2bbf7cfcba37,我喜欢鳄梨。,我吃了一个覆盖在他们身上的三明治。,吃完后，我的嘴里又痒又麻。,后来我跟医生说了一下。,他说我有妄想症，收了我100元。,原来我对牛油果过敏。,2
3ef66340-b2fd-4c12-bc1c-b28730b571a1,大卫是一个难以找到作品灵感的作者。,有一天，他做了一个梦，梦见他在一个末世的世界里。,他觉得这就是缘分，于是开始写自己的想法。,最终他写了几百页。,随后，大卫上传了他的新视频。,大卫就把他的手稿出版了。,2
26b26a0d-d7c5-4c50-bb94-bd236cd6b46f,鲍里斯沉迷于电子游戏。,他的母亲很担心。,她打电话给心理医生寻求帮助。,心理学家试图说服鲍里斯停止他的毒瘾。,鲍里斯意识到自己在浪费生命。,鲍里斯决定穿上这件衣服。,1
0c0d57aa-92eb-4bb3-8c65-6ce4d89e10a3,今天有个警察感冒了。,他几乎下不了床，无法去上班。,他的妻子花时间照顾他，确保他没事。,他保证喝够了，吃够了。,警员只好交出警徽和枪。,警察最终还是好了。,2
1ad020f7-a18a-45f9-a112-b9ca83afcad2,我的朋友Nathan和他的家人有一年夏天去了湖边。,有一天，内森的爸爸走了，没有给妈妈留下打火机。,他妈妈很不高兴，让他光脚走到商店。,可怜的内森不得不走在一条石子路上给他妈妈送火柴。,当内森回来后，他对这次锻炼感到非常高兴。,内森回来后，他妈妈为自己的刻薄道歉。,2
31dd2600-d4c3-4f15-a336-cd0c32237d06,加里是个勇敢的孩子。,有一天，他决定爬过后院的栅栏。,他的父母为了他四处寻找。,他们发现他坐在公园的秋千上。,加里的父母找到他后松了一口气。,加里的父母找到他很失望。,1
a9982ad1-a78e-4ab3-b9d5-4f3679d3e043,提米因欠缴停车罚单被抓。,他没有足够的钱来支付他们。,但他却不得不被逮捕，关了两天。,他因为旷工而丢了工作。,蒂米因为一直在工作，所以被提拔了。,蒂米就不得不另找工作。,2
a62e9212-e75b-4078-ae68-f56a1164dc70,小时候，我参加过夏令营。,我们和辅导员一起做游戏，很开心。,我最喜欢做的事就是打牌。,夏令营的辅导员们懂得的纸牌游戏太多了。,我和部长在一起的时间非常有用。,我最喜欢的纸牌游戏是扑克。,2
67cf2fb0-431a-404d-9c9f-826dd2d3472b,琥珀这个星期天有很多事情要做。,她把自己需要去的地方都列了出来。,她赶紧做好准备。,她担心自己的时间不够用。,琥珀享受了两个小时的轻松早午餐。,琥珀太匆忙了，她把单子留在了家里。,2
dba303f0-ede3-4834-aad4-767eadafa744,夏娃需要一个新的沙发在她的客厅。,但她没钱买啊!,然后她去了一家二手店，发现了一家很不错的店。,她让人送来，摆在客厅里。,她买了一个新沙发来代替。,夏娃觉得沙发很舒服。,2
7c183d9b-d1fd-414f-8c95-c17132422732,杰森很怕蜘蛛。,他去找了一个心理医生，讨论了他的恐惧。,他的治疗师说，他应该面对自己的恐惧来克服它。,杰森的作业是在地下室里找一只蜘蛛。,他在那里发现了一只很大的蜘蛛。,杰森洗了个热水澡。,1
5b6f539e-eb73-4ca4-b359-a1f85e96effd,琳达在工作中开始与一位同事发生矛盾。,同事开始在工作中对她颐指气使。,同事还在背后议论她。,琳达带着问题去找老板，老板对他们进行了调解。,她的老板第二天就把她开除了。,琳达和那个同事最后成了最好的朋友。,2
cb1dd642-75fd-43ae-bb80-d019a2a9cb8e,萨拉希望她的孩子们能过一个愉快的圣诞节。,她攒了一年的钱，11月开始购物。,她购物优惠，花光了所有的积蓄。,她花了两天时间包装了几十份礼物。,所有的礼物都被包装好，存放在节日里。,她把所有的礼物都退了，换了便宜的。,1
0f797de2-3d82-46d1-a370-c278a36ad785,梅根多年来一直在与毒瘾作斗争。,当她失去家庭和孩子的时候，她跌到了谷底。,她的远方家人决定进行干预。,事后，她进了戒毒所。,经过一段时间的努力，她已经能够摆脱毒品了。,她来的时候，整天都在吸毒。,1
6623b60e-9200-4019-9a95-521adc03524d,泰勒已经失业多年。,在过去的几个月里，他一直在勤奋地申请工作。,然而，他的所有申请都被拒绝了。,拒绝促成了泰勒的绝望感。,他对自己在工作中的新职责感到很兴奋。,他意识到自己可能要申请公共援助了。,2
57f0ad88-0dad-4cce-95da-30175ff0ba40,鲍比在开生日派对,他的朋友给他买了一个大蛋糕。,一个女人从蛋糕里跳了出来。,鲍比又惊又喜。,鲍比有一个很好的聚会。,鲍比对他的朋友们很生气。,1
a5ac20db-ed05-49d7-8960-2035a9dce14d,这是我们假期的最后一天。,我们在酒店的天井里吃午饭。,我们笑了，笑了，因为这是一个很好的假期。,然后我们收拾好行李，开车去机场。,我们想在某一天重访。,我们都发誓再也不回去了。,1
3f191c72-305c-487d-8da0-7335fedc270f,妈妈让孩子们帮忙叠衣服。,孩子们把干净的衣服拿到客厅里。,他们把衣服扔在地上。,他们把衣服叠得整整齐齐，堆成一堆。,衣服脏兮兮地展开。,他们就把衣服整齐地摆放起来。,2
dacd5655-337c-4c89-a87f-edd54067cfb9,蒂米喜欢看动画片。,他的父母不让他看，除非他做家务。,今天的家务活是打扫房间。,蒂米的房间很乱,提米去食堂吃早餐。,Timmy整天都在打扫卫生，这样他就可以看电视了。,2
85cc4bad-5cd3-494f-be90-e3c16e512cab,我的女儿在我们波士顿的家里举行了她的婴儿淋浴。,她邀请了当地的朋友和家人。,她的大学老室友住在夏威夷。,她决定给我女儿一个惊喜，飞了4800英里。,我女儿很失望。,我女儿很兴奋。,2
7e12768d-0e37-4940-9dcf-186ba3916660,帕姆的房子是聚会的地方。,大家都买了礼物。,潘买了一个蛋糕。,大家跳起了舞，玩得很开心!,潘是一个糟糕的女主人。,帕姆是一个很好的女主人。,2
d10f40c6-f5f0-4273-82e0-90aa22520588,艾伦一直很讨厌学校。,孩子们天天取笑她。,他们叫她臭艾丽。,她决定开始洗澡。,艾伦喜欢这种负面的关注。,艾伦大吃一惊。,2
322525fb-6970-4c56-89ae-375664d8e320,吉姆在大学里办了第一张信用卡。,他没有工作，所以他把卡上的东西都买了。,卒业后，他数额了10000元的债务。,吉姆意识到，自己花这么多钱是愚蠢的。,吉姆决定制定一个还款计划。,吉姆决定再开一张信用卡。,1
9bc05c17-a739-462c-970c-f5279779f3a5,蒂姆在参加烘焙比赛。,他决定做他著名的甜甜圈。,他做了一大批，参加了比赛。,评委们都觉得很好吃。,评委们被甜甜圈的味道熏吐了。,蒂姆赢得了烘焙比赛。,2
9843660b-4a86-4cae-b6d7-03d73b88426e,我两岁的儿子拒绝穿训练裤。,他总是央求穿尿布。,有一天，因为沮丧，我让他继续裸体。,他去上厕所，趁我不注意的时候用。,现在我不会再让他穿训练裤了。,儿童保护机构将他从家中带走。,1
e721d415-d8b9-479f-a476-bc3f3a239140,冬青很高兴能在暴风雨肆虐的时候，安全地呆在自己的房子里。,她正看着暴风骤雨，就听到一声巨响。,雷电击中了房子旁边的一棵树。,她瞪着眼睛，看着它落下。,她到外面去放风筝。,她松了口气，没有打到任何东西。,2
9409bd0a-fbdd-4450-8b41-5aac05fd5c36,吉尔看到一个不易碎的玻璃杯的信息广告。,她大吃一惊，点了他们。,当吉尔收到杯子的时候，她想测试一下。,她的硬木地板上掉了一个。,它坏了，吉尔觉得自己很笨，因为相信了炒作。,布条撕成了两半，这让吉尔很是惊讶。,1
00d73c9e-6441-4b23-ad78-f33490a6a1ec,艾迪在霍利斯特的商场工作时，一个陌生男子进来了。,在她意识到这一点之前，阿迪看了看她的身后，看到了被偷的衣服。,艾迪害怕了，想把那个人追出去。,幸好有警卫来抓他。,艾迪因犯罪而被关进了监狱。,艾迪松了一口气，深呼吸让自己平静下来。,2
a2685475-307b-49a3-85f8-07b32c63e062,肖恩要去参加工作面试。,他来到企业，问经理。,经理把他带到后面，对他进行了采访。,然后，经理带他参观了一下，并说明了工作内容。,经理希望肖恩表现不好。,经理希望肖恩能明白一切。,2
1bfde41c-01ea-4af8-a5c3-706b8af6cec6,弗雷德与萨姆打赌，谁能在一个月内减掉更多的体重。,弗雷德真的很想赢得这场赌局，赌注是100美元。,弗雷德每天锻炼身体，避免吃快餐，不吃晚餐。,在这个月结束时，弗雷德对自己的胜利充满信心。,弗雷德在月底取消了赌注。,弗雷德最终赢得了赌注，和100美元。,2
749b0981-388d-4deb-83d4-b4bc35b4a168,约翰第一次去跳伞。,他和一个教官一起坐飞机去了空中。,他们一跳，他就尖叫。,约翰非常恐高，晕倒了。,约翰很喜欢这次跳伞之旅的每一秒。,当他醒来的时候，他已经落地了。,2
7d9b0578-4621-460a-9d67-9705079b0a1c,吉娜和她的家人正在离开公园。,他们整个下午都在那里。,现在他们要去她姑姑家。,吉娜请求把她送到她奶奶家去,吉娜恨她的奶奶。,吉娜爱她的奶奶。,2
71db6e1d-bcb4-4849-bded-f252a32c927c,卡娅需要为即将到来的春晚买一件新衣服。,她和几个朋友一起去逛商场。,女孩们都很开心地参观商店和试穿衣服。,卡娅找到了一条她喜欢的裙子，是漂亮的珊瑚色。,她忍不住就买了那个古董花瓶。,虽然有点贵，但她觉得值得。,2
41548819-7537-4bbe-8c20-ba78feb5fe0d,泰勒想开一个有大量气球的气球派对。,他和他的朋友以及他的父母吹起了气球。,他和朋友们玩起了气球，玩得不亦乐乎。,他们累了，看了场电影，吃了晚饭。,这是非常有趣的一天。,泰勒觉得自己的父母从来没有让他做过什么。,1
e4443872-3ac9-465e-9d99-88ab9720da81,吉米今天下午去玩滑板了,这是本周第三次了。,他越来越熟练了，真的很喜欢。,他摔过一次，但一直没有放弃。,经过这周的练习，吉米学会了一个新把戏。,吉米决定把他的滑板送人。,1
aa03cc32-e85b-4710-8120-aeaba4af65b0,美心平时不喜欢刮腿毛。,她不喜欢用剃须刀的感觉。,一天晚上，美心有个大约会，决定穿裙子。,她为这个场合剃了腿毛。,美心不想去约会。,美心下次要做激光脱毛。,2
bcde1c24-5e48-4ba9-a8b5-362db0db0129,Ryan喜欢定制他的自行车。,他决定在自行车车架和车轮上加装一些LED灯。,他从eBay上订购的零件。,当他们到达时，他把他们集合起来。,瑞安喜欢他的自行车的样子。,瑞安决定不再骑自行车了。,1
107793ec-8721-4897-b0de-17db3578fc10,有一天，我想给家人做一顿丰盛的晚餐。,我决定煮意大利面条。,我把面条煮熟了，把酱料放在炉子上的锅里。,我把炉子开得太高了,酱汁烧焦了，粘在锅底。,酱汁加热了很久。,1
0f36f4a6-da40-4c61-a4cc-db237df8f1b6,尼克被挑战了一场排球比赛。,他的女朋友跟他赌五块钱，她能打败他。,尼克并不打算让她赢!,他打得很辛苦，也很无情。,尼克打了他的女朋友，她给了他5美元。,尼克放弃了，因为他不在乎他的女朋友是否赢了。,1
ae91c584-b9d3-4a0e-b166-6928531d1bed,我和一些朋友组成了一支反恐精英队。,为了即将到来的比赛，我们练习了很多。,我们到了比赛现场，商量了一下策略。,我们打了6场艰难的比赛。,我们对我们的表现感到满意。,我们觉得自己的表现很糟糕。,1
bee259be-fcd9-4043-9047-0e199aaa8214,米歇尔在家门口发现了一只肥大的燕尾服猫。,她把海报贴得满街都是。,三周后，没有人打电话给米歇尔询问猫的事。,米歇尔决定把这只猫留给自己。,米歇尔把猫送给了她的邻居。,"米歇尔给这只猫取名""索克斯""。",2
45896107-bb21-48b8-845d-619d8c19bc34,尼尔正在访问爱尔兰。,他的火车刚到德里。,下车的时候，他喘了口气。,它就像童话故事一样绚丽!,尼尔决定再也不回爱尔兰了。,尼尔喜欢爱尔兰。,2
f36a34dc-1b78-4af1-9e48-5ec9d369feb5,玛丽去了公园。,她想展示她的新裙子。,一只鸟飞过玛丽的上空，拉了一泡屎。,她的衣服上沾满了鸟粪。,玛丽很高兴能展示自己的裙子。,玛丽很不高兴，她的衣服被毁了。,2
49c51e74-be6e-45b9-a223-4c0835ad76c1,斯科特知道有人在他的门廊上偷包裹。,他在自家门口附近安装了一个监控摄像头。,他觉得，自己至少会有一段小偷的视频。,有一天，斯科特看到了肇事者的录像。,斯科特与他击掌。,斯科特逮捕了肇事者。,2
f8594fc8-df33-49d7-a5a9-045765ca8eda,科林被他的朋友邀请去酒吧。,他喜欢啤酒，但觉得酒吧里的啤酒太贵了。,他决定还是要去。,他给了自己一个预算。,科林坚持自己的预算，只喝了两瓶啤酒。,科林整晚在酒吧喝啤酒。,1
ab1265ac-d06e-4bad-ba0e-0219d63d3357,乔丹打算搬到墨西哥去。,乔丹决定，他应该学习西班牙语。,他最终从亚马逊购买了一个语言学习项目。,每天他至少在程序上工作2小时。,乔丹搬家的时候就会一些西班牙语会话了。,乔丹一点也不喜欢吃鱼肉卷。,1
c71454d3-16c6-4852-bb0e-1149fd2b0e52,弗雷德是锻炼的新手，刚刚加入了一家健身房。,他对一个私人教练的价格是多么的惊人。,他想锻炼身体，但又负担不起房价。,他在网上免费找到了私人教练的套路。,他再也没有锻炼过。,他对自己的决定很满意。,2
d3615153-cfb9-4583-bd93-e1814c250a1c,这是本赛季排球的第二场比赛。,艾米很希望自己能有机会上场。,第一场比赛结束后，他们就领先了。,她的教练让她参加比赛。,她终于得到了上场比赛的机会。,她让教练去找别人。,1
1be803ad-225f-4b93-a5ce-3d96deedc495,艾伦已经连续流产了四次。,她的丈夫蒂姆对当爸爸感到绝望。,然后医生打电话给他上班。,他告诉他，有一个关于艾伦的好消息。,医生告诉蒂姆，艾米丽去跑步了。,医生告诉蒂姆，艾伦终于怀孕了。,2
b64b9a40-4e69-4381-ae49-035edf71a232,大卫问母亲，能不能自己倒酒。,他的母亲同意了，但警告他要小心。,大卫不小心打翻了他的玻璃杯，玻璃杯碎了一地。,他的母亲高兴地原谅了大卫。,大卫吃了一个芝士汉堡。,大卫答应以后会更加小心。,2
e5ce589a-86a4-4f4e-9a51-87220abdf821,尼尔想打冰球。,他向朋友借了一些装备。,然后，他整装待发，前往溜冰场。,他练了好几天。,尼尔打棒球。,尼尔参加了比赛。,2
