InputStoryid,Enter sentence 1,Enter sentence 2,Enter sentence 3,Input sentence 4,Random Fifth Sentence Quiz 1,Random Fifth Sentence Quiz 2,Answer the right end
a7905e16-15be-433f-bdef-b488a83e4582,Tony was delighted to be on his first cruise.,He arrived at the pier with all his luggage ready.,"As he rounded the corner, he couldn't believe the size of it.",He got on board and the boat left the dock.,Tony enjoyed going on the cruise.,Tony is afraid of the sea.,1
52dbbfda-5b42-4ace-8d59-55cee3eb30c0,Ignacio wants to play a sport when he goes to university,"Because he was a good swimmer, he decided to try out for the swim team.",Ignacio got into the line easily.,"In his first swimming competition, Ignacio came second!",Ignacio gave up swimming.,Ignacio won a silver medal.,2
1edf348d-6fce-4ea3-937c-28ade02f28b8,Danny bought a boat.,There is a race going on at the marina near him.,He decided to enter.,Danny and his best friend work on the boat.,Danny decided to go to bed.,They prepare for the start of the match.,2
0fe46de6-6ee3-4932-a578-268917372566,"At school, Mary is given an assignment to write an essay about pandas.","Luckily, Mary loved the pandas as was excited to get started.","As soon as she got home, Mary switched on the computer and started.",She wrote out everything she knew and researched it too!,Mary doesn't like Panda.,Mary couldn't wait to present her report.,2
625d1e13-8bd3-40b3-ac45-0b16a549fc69,Ellen dreams of winning a prize for her roses.,She intends to enter her special purple rose at the fair.,She fertilises the rose bushes and covers them every night.,The roses get more beautiful every day.,Alan eventually won the prize.,Ellen had to pay back fees for her library card.,1
aa615e4f-83C1-4b65-96a4-6a989d253a52,Jesse has just started fifth grade.,"He wanted to make friends with other boys, but he couldn't do it.",He decided to make friends with girls instead.,The girls were happy to welcome him into their social group.,Jesse went to the park with his new friend Roger.,Jesse is bullied by other boys at school.,2
fa0d318c-d286-4c8e-adda-c2590f100f02,Tiffany was becoming increasingly overwhelmed at work.,"Although she loves her job, she longs for a break.",One day she was outside and tripped over an uneven surface.,She broke her ankle and had to be off work for several months.,Tiffany went to work the next day.,"She was in pain, but was glad not to have to go to work.",2
501c6884-8885-4df3-ae8c-f3f9328fde54,Gina misplaced her mobile phone at her grandparents' place.,It is not in the living room.,She had been in the car before nodding off in the living room.,She grabbed her dad's keys and ran out the door.,But she doesn't want her phone anymore.,She found her mobile phone in the car.,2
8d9f72c4-7f31-4e86-8511-e921fd8f78bb,Alice is getting married in a few weeks.,One night her mother called and she forgot to call her back.,Her mother left an angry message on her mobile phone.,She threatened not to come to the wedding.,Alice phoned her mother and apologised profusely.,Alice messaged a handsome guy she saw on Tinder.,1
ba87797c-dc31-402b-8740-d30c093d4df7,Ted likes to go to the movies.,He met with almost everyone and voted at the Oscars.,He threw a big party for Oscar and they all placed their bets.,Ted almost always wins in the films he chooses.,Ted continues to watch a few films a week.,He decided not to go to the movies anymore.,1
384621a9-d9b6-436d-8914-61a93d916015,Nya had been asked about it on a paintball trip with friends.,She was nervous about going.,"But she went anyway, hoping to have a good time.",She fired paintballs at her friends and laughed the whole time.,She enjoyed it so much that she plans to go on a trip next week.,She got shot and vowed never to go there again.,1
f531b039-67a6-4797-989d-24f716ed4073,All of Javier's friends at school have smartphones.,"However, he uses an old-fashioned flip phone.","One day, he decided to buy a smartphone as well.",At first he liked to go online everywhere he went.,Javier decided to buy a smartphone.,But then he misses his old phone.,2
60facd71-c194-427a-9127-471d5844785e,Rachel decided to give blood at a local blood drive.,"She was a little nervous, as it was her first time.","The next day, Rachel received a call from the doctor she saw.",The doctor told her that he had bad news.,Rachel burst into tears.,Rachel is excited to start moonwalking.,1
d4aff04b-ba93-4cff-8b35-7eb10dd9e23f,Ron is watching a high-speed chase on TV.,Police chasing bad guys around the area.,It's horrible!,But then the police caught the bad guys.,Ron started collecting bottle caps.,Ron commended the officer for his performance.,2
8db8ec1c-1d94-4f9d-b71d-3b533e30a1c5,Sam loves his old belt.,He is worthy of everything.,Unfortunately he has put on too much weight.,It becomes too small.,Sam went on a diet.,Sam was delighted.,1
696b1a71-b684-45ec-8435-7b48274ee411,Larry bought a new motorbike.,He was excited and looked cool.,He dropped it on his first attempt to ride it.,He hurt his leg and had to go to hospital.,Larry likes to go to the hospital.,Larry became cautious.,2
1d14ed7d-5a05-476b-bfab-3e3568a0dd6b,I went on a blind date a few days ago.,She was very sweet and friendly.,We were set up through a colleague.,We seem to have something in common.,Soon we became boyfriend and girlfriend and thought about getting married.,We broke up immediately.,1
9f32f9ef-0b7b-461b-953f-3d7da39bac87,Sami's coffee grinder is broken.,He needs something to crush his coffee beans.,He puts the coffee beans in a plastic bag.,He tried to smash them with a hammer.,Sami is not that fond of coffee.,It worked for Sammy.,2
3972aeda-e5f8-4776-abbb-8566bf38930a,Last week Jared drove to work.,"The night before, he had been on a bender.",He didn't sleep well.,"Before he knew it, his car was facing oncoming traffic.",Jared swerved quickly and managed to avoid a collision.,Jared decided to speed up.,1
411b9523-5254-41ff-b740-e039d0423201,Joe planted a large batch of peas in the garden.,He took the peas into the house and shelled them all.,Then he cooked them in a large pot.,"He added ham, bacon and carrots to make a thick pea soup.",Joe was thinking about working in the garden as he ate his delicious soup.,Joe poured the pot outside because he hates soup.,1
36b638c3-f2d1-44dc-bab1-5bf2a9d7fdff,Eliza has a long-lost ex-boyfriend that she must find.,The problem is that he moved to a new state.,She decided to use Facebook to find him.,"She found him, but he was married with children.","Eliza was devastated, but she never contacted him again.",He fell in love with Aliza and they got married.,1
80b6447f-4c37-4194-9862-3785e5075463,Lina went to see how the candy canes were made.,She watched as the workers added dye to the hot sugar.,Then they stretched it and made it shiny.,"Finally, they shaped it into a cane and let it cool.",Lina now knows that candy canes are boring.,Lina feels she has a new appreciation for the candy cane.,2
dd3506fe-31ce-4bbb-9000-02c222da3466,"When I first moved into my house, I didn't know my neighbours.",One day I was mowing the lawn when I noticed a kickball in the yard.,I thought it was the perfect opportunity to get to know my neighbours.,I grabbed the ball and went next door to return it.,They are very friendly.,I threw the kicker out of their closed window.,1
ad42188e-383b-4c7d-9cd9-906725b7ce12,Bev has been studying very hard.,She couldn't wait for the weekend.,"When she came, she slept late.",Then she got up and went out to the party.,"By Sunday evening, Bev was exhausted again.","Bev took the letter and fed the fish, just as she did every day.",1
f8ff777f-de4d-4e3a-91bd-b197ed13f78e,Three weeks ago we went to Frank Pepe's pizzeria.,This chain is quite famous in Connecticut.,This chain of shops recently opened in Boston.,We went early to get a head start.,We walked 5 snarling dogs in the park across town.,We had a great pizza at Frank Pepe's pizzeria.,2
dfdf2b81-86fa-48f0-8a47-488ccf3e086b,Bernice has always wanted to travel to Africa.,Bernice has decided to take a trip for her birthday next year.,Bernice started looking at airfares for the trip.,"In addition, Bernice checked the hotel prices.",Bernice went to Europe for her birthday.,Bernice decided to buy a plane ticket and book a room.,2
de06c035-4c96-4ed0-89c2- 3ce71e99e9d1,Jim made spinach biscuits.,He sold them for five dollars each.,No one buys any.,"However, at the last minute, one asked for 20.","He was surprised, but also grateful.",Jim thought he was crazy and left.,1
f547c9a1-be95-439d-922d-1417d7f6b818,Randy's friend gave him directions to his house.,He should turn right after the White House.,Randy continues to get lost.,He kept going back and forth until he finally found it.,Randy told his friend how relieved he was that he had found it.,Randy saw the house but kept driving and did not return.,1
195a43c7-d43e-48e4-845b-fd6c75609df2,I decided to go for a bike ride with my brother.,We both set off in the morning.,We had a great time.,"Suddenly, he hit a rock and broke the wheel!",It was fun to watch my brother crash.,I feel very sad for my brother.,2
a11cf506-7d19-4ab9-b0ac-a0fd85a9bd38,Anna went to the beauty salon.,It was the first time she had her nails done.,"She was nervous, but the technician was very friendly.",He did her nails quickly and professionally.,Anna left the salon feeling very stylish.,Anna loves her new haircut.,1
b8c30925-f572-4ac3-b865-1cba592b6f0c,David and Sarah were childhood friends.,"When they went to university, they each moved to a different city.",Sarah received an unexpected phone call from David on Friday.,They had dinner and talked about life.,Sarah was glad they were able to catch up.,Sarah and David went to go eat right after dinner.,1
0a5489f1-beea-4ad6-a6d5-380ba2abd184,AJ and his mother in the grocery shop.,Kit was looking at the cereal box when he looked up and his mum had disappeared.,He immediately began to feel panic.,Then his mother stepped out from behind a display of soup.,AJ then began to feel sad.,AJ breathed a sigh of relief.,2
fe3caede-4b19-410a-b08f-84d71b18e9f4,Joe goes to the junkyard to look for treasures.,He dug through a pile of old clothes.,At the bottom is a vintage shirt with a rock band on it.,Joe put the shirt on and tried it on.,Joe was pleased that the shirt fit.,Joe later hated rock and roll.,1
e689960d-0515-424b-aac3-5d7160ac2577,Priya decided to try a new restaurant.,She drove to a newly opened café.,Priya is sitting in a pavilion.,She ordered a mimosa and a breakfast burrito.,Priya thinks her food is delicious.,Priya decided not to eat and left.,1
57d5152a-77db-4156-8330-166edb36b0a2,Karen was assigned a roommate in her first year of college.,"One day, her roommate asked her to go to a concert in a nearby city.",Karen happily agreed.,The show was absolutely exhilarating.,Karen hates her roommate.,Karen and her roommate have become good friends.,2
726a0fc9-8c6f-451e-838b-c48140817dfc,Last year we went on a family holiday to the beach.,My mum and I spend a lot of time at the beach reading books.,One day I was reading a book when I was stung by a horrible beach bee.,My arm was swollen and painful and I almost had to go to hospital.,"Eventually, I got better.",I find I like the feeling of swelling.,1
696b9d6a-40a4-434d-8a01-aec20c4400a3,Donald is that kind of clown.,He wants to be class president.,"So he thinks that if he acts like an idiot, people will vote for him.",He would get up and just shout and be silly.,Don hates elections.,The Donald is hoping that this stupidity will win him the election.,2
16eeb330-b579-4a0f-a1e6-0b7aad454c54,Eddie and Angela hadn't talked for a long time.,They lived together in the house like strangers.,"Finally, they sat down and agreed that it was time for a divorce.",Eddie went to court and filed the papers.,They divorced a few months later.,They reunited and stayed together forever.,1
ed614284-2364-4b9c-bc02-5e0aad3d8968,Rachel adopted a cat over ten years ago.,"Suddenly, the cat acts more lethargic and loses weight.","Concerned, Rachel took the cat to the vet.",The vet told Rachel that her cat had cancer.,Rachel was excited to hear the news.,The vet treated her cat's cancer in the best way possible.,2
87678fdf-ad4e-4ff0-93d0-039fa451b49b,Jim was a new driver and had never been pulled over before.,Yesterday he was pulled over for speeding.,The officer explained to him why he had been given a ticket.,Jim will have to work overtime to pay for the tickets.,Jim was not happy.,Jim was happy to see the officers.,1
33882739-51ca-446f-8bd0-2bbf7cfcba37,I love avocados.,I ate a sandwich covered in them.,"After eating it, my mouth was itchy and tingly.",Later I spoke to the doctor.,He said I was paranoid and charged me $100.,Turns out I'm allergic to avocado.,2
3ef66340-b2fd-4c12-bc1c-b28730b571a1,David is an author who has difficulty finding inspiration for his work.,"One day, he had a dream that he was in a post-apocalyptic world.",He felt it was fate and began to write his thoughts.,He ended up writing several hundred pages.,David then uploaded his new video.,David then had his manuscript published.,2
26b26a0d-d7c5-4c50-bb94-bd236cd6b46f,Boris is addicted to video games.,His mother was worried.,She called a psychiatrist for help.,The psychologist tried to convince Boris to stop his addiction.,Boris realised he was wasting his life.,Boris decided to wear the dress.,1
0c0d57aa-92eb-4bb3-8c65-6ce4d89e10a3,A policeman had a cold today.,He could barely get out of bed and was unable to go to work.,His wife took the time to look after him and make sure he was okay.,He made sure he had enough to drink and eat.,The officer had to hand over his badge and gun.,The police eventually got better.,2
1ad020f7-a18a-45f9-a112-b9ca83afcad2,My friend Nathan and his family went to the lake one summer.,One day Nathan's dad left without leaving a lighter for his mum.,His mother was upset and made him walk barefoot to the shop.,Poor Nathan had to walk down a gravel road to bring matches to his mother.,"When Nathan returned, he was delighted with the workout.","When Nathan returned, his mother apologised for being mean.",2
31dd2600-d4c3-4f15-a336-cd0c32237d06,Gary is a brave boy.,One day he decided to climb over the backyard fence.,His parents searched everywhere for him.,They found him sitting on a swing in the park.,Gary's parents were relieved to find him.,Gary's parents were disappointed to find him.,1
a9982ad1-a78e-4ab3-b9d5-4f3679d3e043,Timmy was arrested for non-payment of a parking ticket.,He did not have enough money to pay for them.,"Instead, he had to be arrested and imprisoned for two days.",He lost his job because he missed work.,Timmy has been promoted because he has been working.,Timmy then had to find another job.,2
a62e9212-e75b-4078-ae68-f56a1164dc70,"When I was a kid, I went to summer camps.",We had fun playing games with the tutors.,My favourite thing to do is to play cards.,The summer camp counsellors know so many card games.,The time I spent with the minister was very useful.,My favourite card game is poker.,2
67cf2fb0-431a-404d-9c9f-826dd2d3472b,Amber has a lot to do this Sunday.,She made a list of all the places she needed to go.,She hurried to get ready.,She worries that she doesn't have enough time.,Amber enjoyed a relaxing two-hour brunch.,Amber was in such a hurry that she left the list at home.,2
dba303f0-ede3-4834-aad4-767eadafa744,Eve needs a new sofa in her living room.,But she doesn't have the money to buy it!,Then she went to a second-hand shop and found a very nice one.,She had it delivered and set up in the living room.,She bought a new sofa to replace it.,Eve found the sofa very comfortable.,2
7c183d9b-d1fd-414f-8c95-c17132422732,Jason is terrified of spiders.,He went to a psychiatrist and discussed his fears.,His therapist said that he should face his fear to overcome it.,Jason's homework was to find a spider in the basement.,There he found a very large spider.,Jason took a hot shower.,1
5b6f539e-eb73-4ca4-b359-a1f85e96effd,Linda starts having problems with a colleague at work.,Colleagues began to boss her around at work.,Colleagues still talk about her behind her back.,Linda went to the owner with the problem and he mediated with them.,Her boss fired her the next day.,Linda and that colleague ended up becoming best friends.,2
cb1dd642-75fd-43ae-bb80-d019a2a9cb8e,Sarah hopes her children will have a wonderful Christmas.,She had been saving for a year and started shopping in November.,She shopped for deals and spent all her savings.,It took her two days to wrap dozens of gifts.,All the gifts are wrapped and stored for the holidays.,She returned all her gifts and replaced them with cheaper ones.,1
0f797de2-3d82-46d1-a370-c278a36ad785,Megan has struggled with addiction for many years.,"When she lost her family and her children, she hit rock bottom.",Her distant family decided to intervene.,"After the incident, she went into rehab.","After a period of time, she was able to get off the drugs.","When she came, she was on drugs all day.",1
6623b60e-9200-4019-9a95-521adc03524d,Taylor has been unemployed for many years.,For the past few months he has been diligently applying for jobs.,"However, all his applications were rejected.",The rejection contributed to Taylor's sense of desperation.,He is excited about his new responsibilities at work.,He realised he might have to apply for public assistance.,2
57f0ad88-0dad-4cce-95da-30175ff0ba40,Bobby is having a birthday party,His friend bought him a big cake.,A woman jumped out of the cake.,Bobby was surprised and delighted.,Bobby had a good party.,Bobby was angry with his friends.,1
a5ac20db-ed05-49d7-8960-2035a9dce14d,It was the last day of our holiday.,We had lunch on the patio of the hotel.,We laughed and laughed because it was a great holiday.,Then we packed our bags and drove to the airport.,We would like to revisit it at some point.,We all vowed never to go back.,1
3f191c72-305c-487d-8da0-7335fedc270f,Mum asked the children to help fold the laundry.,The children take their clean clothes into the living room.,They threw their clothes on the floor.,They folded their clothes neatly in a pile.,The clothes are unfurled in a dirty manner.,They then put the clothes away neatly.,2
dacd5655-337c-4c89-a87f-edd54067cfb9,Timmy likes to watch cartoons.,His parents wouldn't let him watch it unless he did his chores.,Today's chore is to clean the house.,Timmy's room is a mess.,Timmy goes to the canteen for breakfast.,Timmy spends all day cleaning so he can watch TV.,2
85cc4bad-5cd3-494f-be90-e3c16e512cab,My daughter had her baby shower at our home in Boston.,She invited local friends and family.,Her old college roommate lives in Hawaii.,"She decided to surprise my daughter by flying 4,800 miles.",My daughter was disappointed.,My daughter is very excited.,2
7e12768d-0e37-4940-9dcf-186ba3916660,Pam's house is the place to party.,Everyone bought gifts.,Pam bought a cake.,Everyone danced and had a great time!,Pam is a terrible hostess.,Pam is a great hostess.,2
d10f40c6-f5f0-4273-82e0-90aa22520588,Alan has always hated school.,The children make fun of her every day.,They called her Stinky Ellie.,She decided to start a bath.,Alan likes the negative attention.,Ellen was taken aback.,2
322525fb-6970-4c56-89ae-375664d8e320,Jim took out his first credit card at university.,"He didn't have a job, so he bought everything on the card.","After his graduation, he amounted to a debt of $10,000.",Jim realised that he had been foolish to spend so much money.,Jim decided to set up a repayment plan.,Jim decided to open another credit card.,1
9bc05c17-a739-462c-970c-f5279779f3a5,Tim is taking part in a baking competition.,He decided to make his famous doughnuts.,He made a big batch and entered it in the competition.,The judges thought it was delicious.,The judges threw up at the smell of doughnuts.,Tim won the bake-off.,2
9843660b-4a86-4cae-b6d7-03d73b88426e,My two year old son refuses to wear training trousers.,He always begs to wear nappies.,"One day, out of frustration, I asked him to continue being naked.",He went to the toilet and used it when I wasn't looking.,Now I won't let him wear training trousers anymore.,He was removed from his home by Child Protection Services.,1
e721d415-d8b9-479f-a476-bc3f3a239140,Holly was happy to be safe in her house while the storm raged.,She was watching the storm when she heard a loud bang.,Lightning struck a tree next to the house.,"She stared, watching it fall.",She went outside to fly a kite.,She was relieved that she hadn't hit anything.,2
9409bd0a-fbdd-4450-8b41-5aac05fd5c36,Jill saw an infomercial for a non-breakable glass.,She was taken aback and ordered them.,"When Jill received the mug, she wanted to test it out.",She dropped one on her hardwood floor.,It broke down and Jill felt stupid for believing the hype.,"The cloth was torn in half, much to Jill's surprise.",1
00d73c9e-6441-4b23-ad78-f33490a6a1ec,Eddie was working in the mall in Hollister when a strange man came in.,"Before she knew it, Adi looked behind her and saw the stolen clothes.",Eddie got scared and tried to chase the man out.,"Fortunately, a guard came to arrest him.",Eddie was jailed for his crime.,Eddie breathed a sigh of relief and took a deep breath to calm himself down.,2
a2685475-307b-49a3-85f8-07b32c63e062,Shaun is going to a job interview.,He came to the business and asked the manager.,The manager took him to the back and interviewed him.,The manager then showed him around and explained what the job entailed.,The manager wants Shaun to perform badly.,The manager wanted Shaun to understand everything.,2
1bfde41c-01ea-4af8-a5c3-706b8af6cec6,Fred made a bet with Sam on who could lose more weight in a month.,"Fred really wants to win this bet, and the stakes are $100.","Fred works out every day, avoids fast food and skips dinner.","At the end of the month, Fred was confident of his victory.",Fred cancelled the bet at the end of the month.,"Fred ended up winning the bet, and the $100.",2
749b0981-388d-4deb-83d4-b4bc35b4a168,John went skydiving for the first time.,He went to the air with an instructor in a plane.,"When they jumped, he screamed.",John was very afraid of heights and fainted.,John loved every second of this skydiving trip.,"When he woke up, he had landed on the ground.",2
7d9b0578-4621-460a-9d67-9705079b0a1c,Gina and her family are leaving the park.,They were there all afternoon.,Now they are going to her aunt's house.,Gina asks to be taken to her grandmother's house,Gina hates her grandmother.,Gina loved her grandmother.,2
71db6e1d-bcb4-4849-bded-f252a32c927c,Kaya needs to buy a new dress for the upcoming Spring Festival.,She went to the mall with some friends.,The girls had a great time visiting the shops and trying on clothes.,Kaya found a dress that she liked in a beautiful coral colour.,She couldn't resist and bought the antique vase.,"It was a bit expensive, but she thought it was worth it.",2
41548819-7537-4bbbe-8c20-ba78feb5fe0d,Taylor wants to have a balloon party with lots of balloons.,He and his friends and his parents blew up balloons.,He and his friends played with balloons and had a great time.,"They got tired, watched a film and had dinner.",It was a very interesting day.,Tyler felt that his parents never let him do anything.,1
e4443872-3ac9-465e-9d99-88ab9720da81,Jimmy went skateboarding this afternoon.,This is the third time this week.,He is getting more and more skilled and really enjoys it.,"He fell once, but never gave up.","After practicing this week, Jimmy learned a new trick.",Jimmy decided to give away his skateboard.,1
aa03cc32-e85b-4710-8120-aeaba4af65b0,Maxine doesn't usually like to shave her legs.,She doesn't like the feeling of using a razor.,One evening Maxine had a big date and decided to wear a dress.,She shaved her legs for the occasion.,Maxine doesn't want to go on a date.,Maxine is having laser hair removal next time.,2
bcde1c24-5e48-4ba9-a8b5-362db0db0129,Ryan loves to customise his bikes.,He decided to add some LED lights to the frame and wheels of his bike.,He ordered the parts from eBay.,"When they arrived, he gathered them together.",Ryan loves the look of his bike.,Ryan has decided not to ride his bike anymore.,1
107793ec-8721-4897-b0de-17db3578fc10,"One day, I wanted to cook a nice dinner for my family.",I decided to cook spaghetti.,I cooked the noodles and put the sauce in a pot on the cooker.,I turned the stove on too high,The sauce burns and sticks to the bottom of the pan.,The sauce heats up for a long time.,1
0f36f4a6-da40-4c61-a4cc-db237df8f1b6,Nick was challenged to a volleyball match.,His girlfriend bet him five dollars that she could beat him.,Nick wasn't going to let her win!,He fought hard and relentlessly.,Nick beat up his girlfriend and she gave him $5.,Nick gave up because he didn't care if his girlfriend won.,1
ae91c584-b9d3-4a0e-b166-6928531d1bed,I formed an elite counter-terrorism team with some friends.,We have been practising a lot for the upcoming tournament.,We arrived at the game and discussed our strategy.,We played six tough games.,We are pleased with our performance.,We felt we were playing badly.,1
bee259be-fcd9-4043-9047-0e199aaa8214,Michelle found a fat tuxedo cat on her doorstep.,She put posters up all over the street.,"Three weeks later, no one had called Michelle to ask about the cat.",Michele decided to keep the cat for herself.,Michele gave the cat to her neighbour.,"Michelle named the cat ""Socks"".",2
45896107-bb21-48b8-845d-619d8c19bc34,Neil is visiting Ireland.,His train had just arrived in Delhi.,"As he got out of the car, he caught his breath.",It is as gorgeous as a fairy tale!,Neil has decided never to return to Ireland.,Neil loves Ireland.,2
f36a34dc-1b78-4af1-9e48-5ec9d369feb5,Mary went to the park.,She wanted to show off her new dress.,A bird flies over Mary and takes a shit.,Her clothes were covered in bird droppings.,Mary was delighted to show off her dress.,Mary was upset that her dress had been ruined.,2
49c51e74-be6e-45b9-a223-4c0835ad76c1,Scott knew someone was stealing packages from his porch.,He has installed a surveillance camera near the entrance to his home.,He felt that he would have at least one video of the thief.,"One day, Scott saw the video of the perpetrator.",Scott gave him a high five.,Scott arrested the perpetrators.,2
f8594fc8-df33-49d7-a5a9-045765ca8eda,Colin was invited to the pub by his friend.,He likes beer but thinks it's too expensive in pubs.,He decided to go anyway.,He gave himself a budget.,Colin stuck to his budget and only drank two beers.,Colin was at the bar all night drinking beer.,1
ab1265ac-d06e-4bad-ba0e-0219d63d3357,Jordan is planning to move to Mexico.,Jordan decided that he should learn Spanish.,He eventually purchased a language learning program from Amazon.,Every day he works on the program for at least 2 hours.,Jordan will know some conversational Spanish by the time he moves.,Jordan doesn't like fish tacos at all.,1
c71454d3-16c6-4852-bb0e-1149fd2b0e52,Fred is new to exercise and has just joined a gym.,It's amazing how much he pays for a personal trainer.,He wanted to exercise but could not afford the price of housing.,He found the personal trainer set online for free.,He never exercised again.,He was happy with his decision.,2
d3615153-cfb9-4583-bd93-e1814c250a1c,This was the second match of the volleyball season.,Amy would have loved to have had the opportunity to play.,They were ahead after the first game.,Her coach put her in the competition.,She finally got the chance to play.,She told the coach to find someone else.,1
1be803ad-225f-4b93-a5ce-3d96deedc495,Ellen has had four consecutive miscarriages.,"Her husband, Tim, is desperate to be a father.",Then the doctor called him to work.,He told him that there was good news about Alan.,The doctor told Tim that Emily had gone for a run.,The doctor told Tim that Ellen was finally pregnant.,2
b64b9a40-4e69-4381-ae49-035edf71a232,David asked his mother if he could pour his own wine.,"His mother agreed, but warned him to be careful.",David accidentally knocked over his glass and it shattered all over the floor.,His mother was happy to forgive David.,David had a cheeseburger.,David promised to be more careful in future.,2
e5ce589a-86a4-4f4e-9a51-87220abdf821,Neil wants to play hockey.,He borrowed some equipment from a friend.,Then he was all geared up and ready to go to the rink.,He practiced for days.,Neil plays baseball.,Neil took part in the competition.,2
e2f74079-bcd6-485a-80c6-24be4fca4ae9,My friend Cam is an Amazon bookseller.,"He has 4,000 books stored in his garage.",He earns enough money to live simply.,One day his house caught fire and he lost his collection.,Cam has since decided to insure his property.,"After that, Cam was able to sell more books than he did.",1
c473c07a-630f-48e2-b6dd-ebb34d815fc2,Ms Rossi's birthday is coming up in 5 days.,Rosie had no money to buy a present.,She asked her grandmother to teach her how to draw sunflowers.,Rosie drew a large sunflower and painted it in watercolour.,Rosie's teacher loved the gift.,Rosie's teacher gave her a detention.,1
8ae17467-e396-4f89-9d2a-eeade4539358,A man ordered an antique clock on eBay.,He received a box containing six fuses and a jar of pickles.,He filed a complaint with eBay.,EBay refused to process the refund.,The man was furious.,Ebay is a very reputable company.,1
8e61c1c5-582f-4379-b332-dcb96faf3bf9,Tom and Dick love their truck.,They go out into the desert every week.,They will kick up the mud and play around.,Then Tom's truck broke down.,"It cost a lot of money, but he got it fixed.",Tom knew it would be expensive to repair his boat.,1
a28a894f-ea54-438a-93c5-cae7e4564ec4,Harry went to the theme park with his family.,His dad and brother joined him on the big rollercoaster.,He then rode on some smaller rides with his mum.,The family ate at a restaurant in the park.,Harry doesn't like theme parks.,Harry had a great time in the park.,2
932e37d4-1305-4e54-8fee-ba649e7c7206,I had a talk on art.,"My teacher let me down, even though I did all right.",He made me repeat my speech and failed me again.,I believe that I made the right presentation and stand by it.,My teacher suggested I go to an art school.,The teacher agreed to discuss it with me.,2
f935f831-38bc-4b00-83C6-3891a4dacefc,Leah has a hockey game.,Her family came to cheer her on.,"But when she got there, she realised they were understaffed.",Only a few girls came to play.,Leah was very happy to hear this news.,The game was cancelled.,2
345e1032-0c47-48e6-9968-e04baa479d06,Ava began to notice the wrinkles around her eyes.,She bought an expensive wrinkle cream.,She applies it every night.,"A month later, she examined her eyes closely.",She decided to buy more toothpaste.,She was happy to see her wrinkles gone.,2
bb5695c6-6c1c-4de6-b56c-6b23077d3df5,Harry has been buying a lot of stuff online and wants to buy a new camera.,He researched different cameras online and decided to buy one.,"After his purchase, the camera arrived in the post the following week.","When Harry opened the package, he found that the camera had been damaged.","Annoyed, he contacted the retailer to complain about the damage.",Harry happily took photos all night.,1
