InputStoryid,Входное сообщение1,Вход2,InputSentence3,InputSentence4,Случайная пятаяПриговорнаяКвизь1,Случайная пятаяПриговор2,AnswerRightEnding
1edf348d-6fce-4ea3-937c-28ade02f28b8,Дэнни купил лодку.,Его пристань неподалеку устраивала гонку.,Он решил войти.,Дэнни и его лучший друг управляли лодкой.,Дэнни решил заснуть.,Они готовились к старту гонки.,2
0fe46de6-6ee3-4932-a578-268917372566,В школе Мэри получила задание написать сочинение о пандах.,"К счастью, Мэри любила панд, как и была рада начать.","Как только она вернулась домой, Мэри загрузила свой компьютер и начала.","Она написала обо всем, что знала, и тоже немного исследовала!",Мэри не нравились Панды.,"Мэри не могла дождаться, чтобы представить свой отчет.",2
625d1e13-8bd3-40b3-ac45-0b16a549fc69,Эллен мечтала выиграть приз за свои розы.,На ярмарке она планировала ввести свою особую фиолетовую розу.,Она оплодотворяла розовый куст и покрывала его каждую ночь.,Розы с каждым днем становились красивее.,Эллен в итоге выиграла приз.,Эллен пришлось заплатить за замену читательского билета.,1
aa615e4f-83c1-4b65-96a4-6a989d253a52,Джесси только начал пятый класс.,"Он пытался подружиться с другими мальчиками, но не смог.",Вместо этого он решил подружиться с девушками.,Девочки с радостью приняли его в свои социальные группы.,"Джесси пошел в парк со своим новым другом, Роджером.",Джесси издевался над другими мальчиками в школе.,2
fa0d318c-d286-4c8e-adda-c2590f100f02,Тиффани была перегружена работой.,"Пока ей нравилась ее работа, она жаждала перерыва.",Однажды она споткнулась на улице на неровном асфальте.,Она сломала лодыжку и была вынуждена уйти с работы на пару месяцев.,Тиффани пришла на работу на следующий день.,"Ей было больно, но она была счастлива, что ей не пришлось идти на работу.",2
501c6884-8885-4df3-ae8c-f3f9328fde54,Джина потеряла телефон у бабушки с дедушкой.,Его не было в гостиной.,"Она была в машине перед тем, как заснуть в гостиной.",Она схватила ключи отца и побежала на улицу.,Но ей больше не нужен был ее телефон.,Она нашла свой телефон в машине.,2
8d9f72c4-7f31-4e86-8511-e921fd8f78bb,Элис выходила замуж через несколько недель.,Однажды ночью позвонила ее мать и забыла ей перезвонить.,Ее мать оставила злобное сообщение на своем телефоне.,Она пригрозила не приходить на свадьбу.,Элис позвонила своей матери и извинилась.,"Элис послала сообщение милому парню, которого она видела на Тиндер.",1
ba87797c-dc31-402b-8740-d30c093d4df7,Тед любит ходить в кино.,Он видит почти всех и голосует на Оскаре.,"У него большая вечеринка на Оскар, и все они делают ставки.","Тед почти всегда выигрывает с фильмами, которые он выбирает.",Тед продолжает смотреть несколько фильмов в неделю.,Он решает перестать смотреть фильмы.,1
384621a9-d9b6-436d-8914-61a93d916015,Ню пригласили в путешествие с друзьями по пейнтболу.,"Она нервничала, когда уходила.","Но она все равно пошла, надеясь повеселиться.",Она стреляла в своих друзей пейнтбольными шарами и все время смеялась.,"Ей так понравилось, что она запланировала поездку на следующую неделю.",Ее застрелили и поклялись больше никогда туда не ходить.,1
f531b039-67a6-4797-989d-24f716ed4073,У всех друзей Хавьера в школе есть смартфоны.,"Тем не менее, он все еще использует телефон в старом стиле.",Однажды он решил купить и смартфон.,"Сначала ему нравится иметь доступ к интернету везде, где бы он ни был.",Хавьер решает купить смартфон.,Но потом он скучает по своему старому телефону.,2
60facd71-c194-427a-9127-471d5844785e,Рейчел решила сдавать кровь на местной фабрике крови.,"Она немного нервничала, потому что это был ее первый раз.","На следующий день Рейчел позвонил доктор, которого она видела.","Доктор сказал ей, что у него плохие новости.",Рейчел сломалась в слезах.,Рейчел начала ходить под луной с волнением.,1
d4aff04b-ba93-4cff-8b35-7eb10dd9e23f,Рон смотрел высокоскоростную погоню по телевизору.,Коп гонялся за плохим парнем по соседству.,Это было ужасно!,Но потом коп поймал плохого парня.,Рон начал собирать крышки для бутылок.,Рон аплодировал офицеру.,2
8db8ec1c-1d94-4f9d-b71d-3b533e30a1c5,Сэм любил свой старый ремень.,Он подошел ко всему.,"К сожалению, он набрал слишком много веса.",Он стал слишком маленьким.,Сэм сел на диету.,Сэм был счастлив.,1
696b1a71-b684-45ec-8435-7b48274ee411,Ларри купил новый мотоцикл.,Он был рад выглядеть круто.,"В первый раз, когда он попытался на ней покататься, он ее уронил.",Он повредил ногу и был вынужден поехать в больницу.,Ларри любил ходить в больницу.,Ларри стал осторожен.,2
1d14ed7d-5a05-476b-bfab-3e3568a0dd6b,Я ходила на свидание вслепую несколько дней назад.,Она была милой и дружелюбной.,Нас подставили через сослуживца.,"Кажется, у нас есть кое-что общее.",Вскоре мы стали парнем и девушкой и думали о браке.,Мы сразу же расстались.,1
9f32f9ef-0b7b-461b-953f-3d7da39bac87,Кофемолка Сэмми была сломана.,"Ему нужно было что-то, чтобы раздавить его кофейные зерна.",Он положил свои кофейные зерна в пластиковый пакет.,Он пытался раздавить их молотком.,Сэмми не любил кофе.,Это сработало для Сэмми.,2
3972aeda-e5f8-4776-abbb-8566bf38930a,На прошлой неделе Джаред ехал на работу.,Он сильно тусовался накануне вечером.,Он не спал.,"Не успел он оглянуться, как его машина столкнулась со встречным движением.",Джаред быстро свернул и сумел избежать столкновения.,Джаред решил ускориться.,1
411b9523-5254-41ff-b740-e039d0423201,Джо выращивал большую партию гороха в своем саду.,Он принес горох внутрь и обстрелял их всех.,Потом он приготовил их в большой кастрюле.,"Он добавил ветчину, бекон и морковь, чтобы сделать густой гороховый суп.","Джо думал о работе в саду, когда ел вкусный суп.","Джо выбросил кастрюлю на улицу, потому что ненавидел суп.",1
36b638c3-f2d1-44dc-bab1-5bf2a9d7fdff,"У Ализы был давно потерянный бывший парень, которого она должна была найти.","Проблема была в том, что он переехал в новый штат.","Она решила использовать Фейсбук, чтобы найти его.","Она нашла его, но он был женат с детьми.","Ализе было грустно, но она больше никогда с ним не связывалась.","Он влюбился в Ализу, и они поженились.",1
80b6447f-4c37-4194-9862-3785e5075463,"Лина пошла посмотреть, как делаются конфетные трости.","Она смотрела, как рабочие добавляли краситель в горячие конфеты.","Потом они растянули его, чтобы сделать блестящим.","Наконец, они превратили его в трость и дали ему остыть.","Лина теперь знала, что конфетные трости скучны.",Лина почувствовала новую благодарность за конфетные трости.,2
dd3506fe-31ce-4bbb-9000-02c222da3466,"Когда я только переехала в свой дом, я не знала своих соседей.","Пока однажды косил, я нашел кикбол у себя во дворе.","Я чувствовал, что это прекрасная возможность познакомиться с моими соседями.","Я схватил мяч и пошел по соседству, чтобы вернуть его.",Они были очень дружелюбны.,Я бросил кикбол в их закрытое окно.,1
ad42188e-383b-4c7d-9cd9-906725b7ce12,Бев очень усердно училась.,Она не могла дождаться выходных.,"Когда это случилось, она спала очень поздно.",Потом она встала и пошла на вечеринку.,К вечеру воскресенья Бев снова выдохлась.,"Бев получила почту и накормила рыбу, как и каждый день.",1
f8ff777f-de4d-4e3a-91bd-b197ed13f78e,Мы ходили в пиццерию Фрэнка Пепе три недели назад.,Цепь довольно известна в Коннектикуте.,Сеть недавно открылась в Бостоне.,"Мы рано ушли, чтобы победить толпу.",Мы выгуляли 5 рычащих собак в парке на другом конце города.,У нас была отличная пицца в пиццерии Фрэнка Пепе.,2
dfdf2b81-86fa-48f0-8a47-488ccf3e086b,Бернис всегда хотела поехать в Африку.,Бернис решила отправиться в путешествие на свой день рождения в следующем году.,Бернис начала изучать цены на авиабилеты на поездку.,"Кроме того, Бернис посмотрел и цену гостиниц.",Бернис уехала в Европу на свой день рождения.,Бернис решила получить билет на самолет и забронировать номер.,2
de06c035-4c96-4ed0-89c2-3ce71e99e9d1,Джим сделал печенье со шпинатом.,Он продал их по пять долларов за каждого.,Никто ничего не купил.,"Однако, в последнюю минуту мужчина хотел двадцать.","Он был удивлен, но благодарен.","Джим подумал, что он сумасшедший и ушел.",1
f547c9a1-be95-439d-922d-1417d7f6b818,Друг Рэнди дал ему дорогу домой.,Он должен был взять сразу после Белого дома.,Рэнди продолжал теряться.,"Он постоянно отступал, пока, наконец, не нашел его.","Рэнди рассказал своему другу, как ему полегчало, что он нашел его.","Рэнди увидел дом, но продолжал ехать и не вернулся.",1
195a43c7-d43e-48e4-845b-fd6c75609df2,Я решил покататься на велосипеде с братом.,Мы оба отправились утром.,Нам было очень весело.,Внезапно он врезался в камень и сломал колесо!,"Смотреть, как мой брат разбивается, было весело.",Мне было очень жаль моего брата.,2
a11cf506-7d19-4ab9-b0ac-a0fd85a9bd38,Анна пошла в салон.,Она впервые делала маникюр.,"Она нервничала, но техника была дружелюбной.",Он быстро и искусно сделал ей ногти.,"Анна чувствовала себя очень модно, когда ушла из салона.",Анне очень понравилась ее новая прическа.,1
b8c30925-f572-4ac3-b865-1cba592b6f0c,Дэвид и Сара были друзьями в детстве.,"Когда они поступили в колледж, каждый переехал в другой город.",Сара получила неожиданный звонок от Дэвида в пятницу.,Они ужинали и говорили о своей жизни.,"Сара была рада, что они смогли наверстать упущенное.",Сара и Дэвид пошли ужинать сразу после этого.,1
0a5489f1-beea-4ad6-a6d5-380ba2abd184,Эй Джей и его мама были в продуктовом магазине.,"Эйджей смотрел на коробку с хлопьями, а когда он поднял глаза, его мамы уже не было.",Он сразу же начал паниковать.,Потом его мама вышла из-за выставки супа.,Эй Джей начал грустить.,Эй Джей вздохнул с облегчением.,2
fe3caede-4b19-410a-b08f-84d71b18e9f4,"Джо пошел на свалку, чтобы найти сокровища.",Он рылся в стопке старой одежды.,Внизу была винтажная рубашка с рок-группой на ней.,"Джо надел рубашку, чтобы попробовать.","Джо был счастлив, что рубашка подошла.",После этого Джо ненавидел рок-музыку.,1
e689960d-0515-424b-aac3-5d7160ac2577,Прия решила попробовать новый ресторан.,"Она поехала в новое кафе, которое открылось.",Прия сидела у стенда.,Она заказала мимозу и буррито на завтрак.,"Прия думала, что ее еда была вкусной.",Прия решила не есть и ушла.,1
57d5152a-77db-4156-8330-166edb36b0a2,Карен была назначена соседкой по комнате на первом курсе колледжа.,Однажды ее соседка по комнате попросила ее поехать в соседний город на концерт.,Карен согласилась счастливо.,Шоу было абсолютно захватывающим.,Карен ненавидела свою соседку.,Карен подружилась со своей соседкой.,2
726a0fc9-8c6f-451e-838b-c48140817dfc,В прошлом году мы устроили семейный отдых на пляже.,"Я провел много времени, читая с мамой на пляже.",Однажды во время чтения меня ужалила ужасная пляжная оса.,"Рука опухла и была болезненной, мне чуть не пришлось ехать в больницу.","В конце концов, я исцелился.","Я обнаружил, что мне нравится быть опухшим.",1
696b9d6a-40a4-434d-8a01-aec20c4400a3,Дональд был вроде как классовым клоуном.,Он хотел быть президентом класса.,"Поэтому он решил, что если он будет вести себя как идиот, то люди проголосуют за него.",Он вставал и просто кричал и был глупцом.,Дон ненавидел выборы.,"Дональд надеялся, что эта глупость победит на выборах.",2
16eeb330-b579-4a0f-a1e6-0b7aad454c54,Эдди и Анжела долгое время не разговаривали друг с другом.,"Они жили в своем доме вместе, как незнакомцы.","Наконец, они сели и согласились, пришло время развода.",Эдди пошел в суд и подал документы.,Они развелись несколько месяцев спустя.,Они снова влюбились и остались вместе навсегда.,1
ed614284-2364-4b9c-bc02-5e0aad3d8968,Рейчел усыновила кошку больше десяти лет назад.,Внезапно кошка стала вести себя более вяло и похудела.,"Обеспокоенная, Рейчел отвезла своего кота к ветеринару.","Ветеринар сказал Рейчел, что у ее кошки развился рак.",Рейчел была рада услышать новости.,Ветеринар лечил рак ее кошки как можно лучше.,2
87678fdf-ad4e-4ff0-93d0-039fa451b49b,"Джим - новый водитель, и его никогда раньше не останавливали.",Вчера его остановили за превышение скорости.,"Офицер объяснил ему, почему ему выписали штраф.","Джиму придется работать сверхурочно, чтобы оплатить билет.",Джим очень расстроен.,Джим был рад видеть офицера.,1
33882739-51ca-446f-8bd0-2bbf7cfcba37,Я люблю авокадо.,"Я съел сэндвич, покрытый ими.","После того, как я его съел, у меня во рту зудило и покалывало.",Я поговорил об этом со своим врачом позже.,"Он сказал, что у меня паранойя, и снял с меня 100 долларов.","Оказалось, что у меня аллергия на авокадо.",2
3ef66340-b2fd-4c12-bc1c-b28730b571a1,"Дэвид был автором, который с трудом находил вдохновение для своей работы.","Однажды ему приснился сон о том, что он находится в пост-апокалиптическом мире.","Он думал, что это судьба, и начал писать свои мысли.","В конце концов, он написал сотни страниц.",Затем Дэвид загрузил свое новое видео.,Затем Дэвид опубликовал свою рукопись.,2
26b26a0d-d7c5-4c50-bb94-bd236cd6b46f,Борис увлекался видеоиграми.,Его мать была обеспокоена.,"Она позвонила психологу, чтобы получить помощь.",Психолог пытался убедить Бориса остановить зависимость.,"Борис понял, что он тратит свою жизнь впустую.",Борис решил надеть платье.,1
0c0d57aa-92eb-4bb3-8c65-6ce4d89e10a3,Офицер полиции сегодня заболел гриппом.,"Он не мог пойти на работу, так как едва мог встать с постели.","Его жена потратила время на то, чтобы позаботиться о нем и убедиться, что с ним все в порядке.","Он позаботился о том, чтобы выпить и съесть достаточно.",Офицеру полиции пришлось отказаться от значка и пистолета.,Офицер полиции в конце концов поправился.,2
1ad020f7-a18a-45f9-a112-b9ca83afcad2,Мой друг Нейтан и его семья как-то летом отправились на озеро.,Однажды отец Натана ушел и не оставил зажигалку для своей мамы.,"Ну, его мама была очень расстроена и заставила его ходить в магазин босиком.","Бедному Нейтану пришлось идти по гравийной дороге, чтобы привезти мамины спички.","Когда Нейтан вернулся, он почувствовал себя очень счастливым за упражнение.","Когда Нейтан вернулся, его мама извинилась за то, что была такой злой.",2
31dd2600-d4c3-4f15-a336-cd0c32237d06,Гари был храбрым ребенком.,Однажды он решил перелезть через забор на своем заднем дворе.,Его родители искали его повсюду.,Его нашли сидящим на качелях в парке.,Родители Гари с облегчением нашли его.,"Родители Гари были разочарованы тем, что нашли его.",1
a9982ad1-a78e-4ab3-b9d5-4f3679d3e043,Тимми поймали с неоплаченными штрафами за парковку.,"У него не было достаточно денег, чтобы заплатить за них.",Вместо этого его пришлось арестовать и посадить на два дня.,Он потерял работу из-за пропавшей работы.,"Тимми постоянно повышали за то, что он так много работал.","Тимми тогда пришлось найти другую работу,",2
a62e9212-e75b-4078-ae68-f56a1164dc70,"Когда я был моложе, я поехал в летний лагерь.",Нам было очень весело играть в игры с консультантами.,Мое любимое занятие - играть в карты.,Лагерные вожатые знали так много разных карточных игр.,"Мое время, проведенное со священником, было очень полезным.",Моей любимой карточной игрой был покер.,2
67cf2fb0-431a-404d-9c9f-826dd2d3472b,У Эмбер было много дел в это воскресенье.,"Она составила список всех мест, куда ей нужно было пойти.",Она поспешила подготовиться.,"Она беспокоилась, что у нее не будет достаточно времени.",Эмбер наслаждалась расслабляющим двухчасовым бранчем.,"Эмбер так торопилась, что оставила список дома.",2
dba303f0-ede3-4834-aad4-767eadafa744,Еве нужен был новый диван в ее салоне.,Но она не могла позволить себе купить его!,Потом она пошла в магазин подержанных товаров и нашла отличный.,Она доставила его и установила в своей гостиной.,"Она купила новый диван, чтобы заменить его.","Ив думала, что диван очень удобный.",2
7c183d9b-d1fd-414f-8c95-c17132422732,Джейсон боялся пауков.,Он пошел к психотерапевту и обсудил свой страх.,"Его терапевт сказал, что он должен противостоять своему страху, чтобы преодолеть его.",Домашнее задание Джейсона было искать паука в подвале.,Он нашел там очень большого паука.,Джейсон принял горячий душ.,1
5b6f539e-eb73-4ca4-b359-a1f85e96effd,У Линды начались проблемы с коллегой по работе.,Коллега начал командовать ею на работе.,Коллега даже говорил за ее спиной.,"Линда пошла к своему боссу с этим вопросом, и босс их опосредовал.",Ее босс уволил ее на следующий день.,Линда и коллега в итоге стали лучшими друзьями.,2
cb1dd642-75fd-43ae-bb80-d019a2a9cb8e,"Сара хотела, чтобы у ее детей было прекрасное Рождество.",Она копила весь год и начала ходить по магазинам в ноябре.,Она заключила сделки и потратила все свои сбережения.,"Она потратила два дня, упаковывая десятки подарков.",Все подарки были завернуты и хранились к праздникам.,Она вернула все подарки за более дешевые.,1
0f797de2-3d82-46d1-a370-c278a36ad785,Меган уже много лет борется с наркотической зависимостью.,"Она опустилась на самое дно, когда потеряла семью и детей.",Ее далекая семья решила организовать интервенцию.,После мероприятия она попала в реабилитационный центр.,Через некоторое время она смогла избавиться от наркотиков.,"Когда она приехала, она целый день принимала наркотики.",1
6623b60e-9200-4019-9a95-521adc03524d,Тайлер был безработным годами.,Последние несколько месяцев он старательно подавал заявления на работу.,Однако все его заявления отклоняются.,Отвержения способствуют чувству отчаяния Тайлера.,Он в восторге от своих новых обязанностей на работе.,"Он понимает, что, возможно, ему придется обратиться за государственной помощью.",2
57f0ad88-0dad-4cce-95da-30175ff0ba40,У Бобби был день рождения.,Его друзья купили ему огромный торт.,Женщина выпрыгнула из торта.,Бобби был удивлен и забавен.,У Бобби была хорошая вечеринка.,Бобби был зол на своих друзей.,1
a5ac20db-ed05-49d7-8960-2035a9dce14d,Это был последний день нашего отпуска.,Мы обедали во внутреннем дворике отеля.,"Мы смеялись и улыбались, потому что это был отличный отпуск.",Потом мы собрали вещи и поехали в аэропорт.,Мы хотим когда-нибудь вернуться к этому.,Мы все поклялись больше никогда не возвращаться.,1
3f191c72-305c-487d-8da0-7335fedc270f,Мама попросила детей помочь сложить белье.,Дети забрали чистую одежду в гостиную.,Они сбросили одежду на пол.,Они аккуратно сложили одежду в кучи.,Одежда была грязной и разложенной.,Затем они аккуратно одеваются.,2
dacd5655-337c-4c89-a87f-edd54067cfb9,Тимми любит смотреть мультики.,"Родители не разрешают ему смотреть, пока он не сделает свою работу.",Сегодняшняя работа - это уборка его комнаты.,В комнате Тимми беспорядок.,Тимми пошел в столовую на завтрак.,"Тимми провел весь день за уборкой, чтобы посмотреть телевизор.",2
85cc4bad-5cd3-494f-be90-e3c16e512cab,У моей дочери была вечеринка в нашем бостонском доме.,Она пригласила друзей и семью в этот район.,Ее старая соседка по комнате в колледже живет на Гавайях.,"Она решила удивить мою дочь, пролетев 4800 миль.",Моя дочь была разочарована.,Моя дочь была взволнована.,2
7e12768d-0e37-4940-9dcf-186ba3916660,"Дом Пэм был там, где была вечеринка.",Все купили подарки.,Пэм купила торт.,Все танцевали и веселились!,Пэм была паршивой хозяйкой.,Пэм была хорошей хозяйкой.,2
d10f40c6-f5f0-4273-82e0-90aa22520588,Эллен всегда ненавидела школу.,Дети смеялись над ней каждый день.,Они называли ее вонючей Элли.,Она решила начать принимать ванны.,Эллен нравилось отрицательное внимание.,Эллен была в шоке.,2
322525fb-6970-4c56-89ae-375664d8e320,Джим получил свою первую кредитную карту в колледже.,"У него не было работы, поэтому он купил все, что было на его карточке.",После окончания учебы он задолжал 10 тысяч долларов.,"Джим понял, что глупо тратить столько денег.",Джим решил разработать план погашения.,Джим решил открыть еще одну кредитную карту.,1
9bc05c17-a739-462c-970c-f5279779f3a5,Тим участвовал в конкурсе на выпечку.,Он решил сделать свои знаменитые пончики.,Он сделал большую партию и участвовал в конкурсе.,Судьи считали их вкусными.,Судей вырвало от вкуса пончиков.,Тим выиграл конкурс на выпечку.,2
9843660b-4a86-4cae-b6d7-03d73b88426e,Мой двухлетний сын отказался носить тренировочные штаны.,Он всегда умолял надеть подгузник.,"Однажды, от разочарования, я позволила ему остаться голым.","Он пошел в горшок и воспользовался им, когда я не смотрел.",Теперь я не пытаюсь заставить его носить тренировочные штаны.,Служба защиты детей забрала его из дома.,1
e721d415-d8b9-479f-a476-bc3f3a239140,"Холли была рада быть в безопасности в своем доме, когда бушевал шторм.","Она наблюдала за бурей, когда услышала громкую трещину.",Молния попала в дерево рядом с домом.,"Она смотрела, как он падает.","Она вышла на улицу, чтобы запустить воздушного змея.","Она почувствовала облегчение, что она ничего не задела.",2
9409bd0a-fbdd-4450-8b41-5aac05fd5c36,Джилл видела рекламный ролик о небьющихся стеклянных чашках.,Она была поражена и заказала их.,"Когда Джилл получила чашки, она хотела их проверить.",Она уронила одну на свой деревянный пол.,"Она сломалась, и Джилл почувствовала себя глупой за то, что поверила в эту шумиху.","Ткань разорвана на две части, к удивлению Джилл.",1
00d73c9e-6441-4b23-ad78-f33490a6a1ec,"Эдди работала в торговом центре в Холлистере, когда пришел странный человек.","Не успела она оглянуться, как Эдди оглянулась позади нее и увидела украденную одежду.",Эдди испугался и попытался прогнать его.,"К счастью, охранники пришли и арестовали его.",Эдди посадили в тюрьму за ее преступление.,"Эдди почувствовала облегчение и сделала глубокий вдох, чтобы успокоиться.",2
a2685475-307b-49a3-85f8-07b32c63e062,Шон собирался на собеседование.,Он пришел в бизнес и попросил менеджера.,Менеджер отвел его в подсобку и допросил.,Затем менеджер показал ему все вокруг и объяснил работу.,"Менеджер надеялся, что Шон будет плохо работать.","Менеджер хотел, чтобы Шон все понял.",2
1bfde41c-01ea-4af8-a5c3-706b8af6cec6,"Фред заключил пари с Сэмом о том, что через месяц он может похудеть больше.","Фред очень хотел выиграть пари, которая стоила 100 долларов.","Фред тренировался ежедневно, избегал фаст-фуда и пропускал ужин.",В конце месяца Фред был уверен в своей победе.,Фред отменил ставку в конце месяца.,"Фред в итоге выиграл пари, и 100 долларов.",2
749b0981-388d-4deb-83d4-b4bc35b4a168,Джон впервые прыгнул с парашютом.,Он пошел с инструктором на самолете в воздух.,"Он кричал, когда они прыгали.",Иоанн ужасно боялся высоты и потерял сознание.,Джон любил каждую секунду прыжков с парашютом.,"Когда он проснулся, он уже приземлился.",2
7d9b0578-4621-460a-9d67-9705079b0a1c,Джина и ее семья покидали парк.,Они были там весь день.,Теперь они собирались в дом ее тети.,"Джина умоляла, чтобы ее подбросили к бабушке.",Джина ненавидела свою бабушку.,Джина любила свою бабушку.,2
71db6e1d-bcb4-4849-bded-f252a32c927c,Кайе нужно было купить новое платье для предстоящего весеннего праздника.,Она пошла в торговый центр с несколькими своими друзьями.,"Все девочки хорошо провели время, посещая магазины и примеряя платья.","Кайя нашла платье, которое ей понравилось, красивого кораллового цвета.","Она не смогла устоять, поэтому купила антикварную вазу.","Это было вроде как дорого, но она решила, что оно того стоит.",2
