InputStoryid,InputSentence1,InputSentence2,InputSentence3,InputSentence4,Satunnainenviides lauseQuiz1,Satunnainenviides lauseQuiz2,AnswerRightEnding
60facd71-c194-427a-9127-471d5844785e,Rachel päätti luovuttaa verta paikallisessa verenluovutuskeräyksessä.,"Hän oli hieman hermostunut, koska tämä oli hänen ensimmäinen kertansa.","Seuraavana päivänä Rachel sai puhelun lääkäriltä, jonka luona hän oli käynyt.","Lääkäri kertoi, että hänellä oli huonoja uutisia.",Rachel purskahti itkuun.,Rachel alkoi kävellä kuutamolla jännityksestä.,1
d4aff04b-ba93-4cff-8b35-7eb10dd9e23f,Ron katseli televisiosta takaa-ajoa.,Poliisi jahtasi pahista kaveria naapurustossaan.,Se oli pelottavaa!,Mutta sitten poliisi sai pahiksen kiinni.,Ron alkoi kerätä pullonkorkkeja.,Ron taputti upseerin suoritukselle.,2
8db8ec1c-1d94-4f9d-b71d-3b533e30a1c5,Sam rakasti vanhaa vyötään.,Hän sovitti sen kaikkeen.,Valitettavasti hän lihoi liikaa.,Siitä tuli liian pieni.,Sam ryhtyi dieetille.,Sam oli onnellinen.,1
696b1a71-b684-45ec-8435-7b48274ee411,Larry osti uuden moottoripyörän.,Hän oli innoissaan näyttääkseen siistiltä.,Ensimmäisellä kerralla hän yritti ajaa sillä ja pudotti sen.,Hän loukkasi jalkansa ja joutui sairaalaan.,Larry rakasti sairaalassa käymistä.,Larry tuli varovaiseksi.,2
1d14ed7d-5a05-476b-bfab-3e3568a0dd6b,Kävin sokkotreffeillä muutama päivä sitten.,Hän oli söpö ja ystävällinen.,Meidät asetettiin yhteen työtoverin kautta.,Meillä näyttää olevan joitakin yhteisiä asioita.,Pian olimme poikaystävä ja tyttöystävä ja ajattelimme avioliittoa.,Me erosimme heti.,1
9f32f9ef-0b7b-461b-953f-3d7da39bac87,Sammyn kahvimylly oli rikki.,"Hän tarvitsi jotain, jolla murskata kahvipavut.",Hän laittoi kahvipavut muovipussiin.,Hän yritti murskata niitä vasaralla.,Sammy ei pitänyt kahvista.,Se toimi Sammyn kohdalla.,2
3972aeda-e5f8-4776-abbb-8566bf38930a,Viime viikolla Jared ajoi töihin.,Hän oli juhlinut kovaa edellisenä iltana.,Hän ei saanut unta.,"Ennen kuin hän huomasi, hänen autonsa oli vastaantulevaa liikennettä vasten.",Jared väisti nopeasti ja onnistui välttämään törmäyksen.,Jared päätti kiihdyttää.,1
411b9523-5254-41ff-b740-e039d0423201,Joe kasvatti puutarhassaan suuren erän herneitä.,Hän toi herneet sisälle ja kuorii ne kaikki.,Sitten hän keitti ne isossa kattilassa.,"Hän lisäsi kinkkua, pekonia ja porkkanoita paksuun hernekeittoon.",Joe ajatteli puutarhatöitä syödessään herkullista keittoa.,"Joe heitti kattilan ulos, koska hän inhosi keittoa.",1
36b638c3-f2d1-44dc-bab1-5bf2a9d7fdff,"Alizalla oli kauan kadoksissa ollut ex-poikaystävä, jonka hän oli pakko löytää.","Ongelmana oli, että hän muutti uuteen osavaltioon.",Hän päätti etsiä miehen Facebookin kautta.,"Hän löysi miehen, mutta tämä oli naimisissa ja hänellä oli lapsia.","Aliza oli surullinen, mutta hän ei ottanut enää koskaan yhteyttä Alizaan.","Hän rakastui Alizaan, ja he menivät naimisiin.",1
80b6447f-4c37-4194-9862-3785e5075463,"Lina kävi katsomassa, miten karkkikeppejä tehdään.","Hän katseli, kun työntekijät lisäsivät väriainetta kuumaan karkkiin.","Sitten he venyttivät sitä, jotta siitä tulisi kiiltävä.",Lopuksi he muotoilivat siitä kepin ja antoivat sen jäähtyä.,"Lina tiesi nyt, että karkkikepit olivat tylsiä.",Lina tunsi uutta arvostusta karkkeja kohtaan.,2
dd3506fe-31ce-4bbb-9000-02c222da3466,"Kun muutin talooni, en tuntenut naapureitani.",Eräänä päivänä löysin pihaltani potkupallon leikatessani.,Minusta tämä oli täydellinen tilaisuus tutustua naapureihini.,Nappasin pallon ja menin naapuriin palauttamaan sen.,He olivat hyvin ystävällisiä.,Heitin potkupallon heidän suljetun ikkunansa läpi.,1
ad42188e-383b-4c7d-9cd9-906725b7ce12,Bev oli opiskellut ahkerasti.,Hän ei malttanut odottaa viikonloppua.,"Kun se koitti, hän nukkui hyvin myöhään.",Sitten hän nousi ylös ja lähti juhlimaan.,Sunnuntai-iltaan mennessä Bev oli jälleen uupunut.,"Bev haki postin ja ruokki kalat, aivan kuten hän teki joka päivä.",1
f8ff777f-de4d-4e3a-91bd-b197ed13f78e,Kävimme Frank Pepen pizzeriassa kolme viikkoa sitten.,Ketju on varsin tunnettu Connecticutissa.,Ketju avattiin hiljattain Bostonissa.,"Menimme aikaisin, jotta vältimme väkijoukon.",Kävelimme 5 murisevaa koiraa puistossa kaupungin toisella puolella.,Söimme loistavaa pizzaa Frank Pepe's -pizzeriassa.,2
dfdf2b81-86fa-48f0-8a47-488ccf3e086b,Bernice on aina halunnut matkustaa Afrikkaan.,"Bernice päätti, että hän lähtisi ensi vuonna matkalle syntymäpäivänään.",Bernice alkoi tutkia lentolippujen hintaa.,Lisäksi Bernice selvitti myös hotellien hintoja.,Bernice lähti Eurooppaan syntymäpäivänsä kunniaksi.,Bernice päätti hankkia lentoliput ja varata huoneen.,2
de06c035-4c96-4ed0-89c2-3ce71e99e9d1,Jim teki pinaattikeksejä.,Hän myi ne viidellä dollarilla kappale.,Kukaan ei ostanut niitä.,Viime hetkellä eräs mies halusi kuitenkin kaksikymmentä.,Hän oli yllättynyt mutta kiitollinen.,Jim luuli häntä hulluksi ja lähti.,1
f547c9a1-be95-439d-922d-1417d7f6b818,Randyn ystävä antoi hänelle ohjeet kotiinsa.,Hänen piti kääntyä oikealle Valkoisen talon jälkeen.,Randy jatkoi eksymistään.,"Hän etsi koko ajan takaisin, kunnes löysi sen lopulta.","Randy kertoi ystävälleen, kuinka helpottunut hän oli sen löytämisestä.","Randy näki talon, mutta jatkoi ajamista eikä tullut takaisin.",1
195a43c7-d43e-48e4-845b-fd6c75609df2,Päätin lähteä pyöräretkelle veljeni kanssa.,Lähdimme molemmat aamulla ulos.,Meillä oli hauskaa.,Yhtäkkiä hän törmäsi kiveen ja rikkoi pyöränsä!,Veljeni onnettomuuden seuraaminen oli hauskaa.,Tunsin itseni hyvin pahoilleni veljeni puolesta.,2
a11cf506-7d19-4ab9-b0ac-a0fd85a9bd38,Anna meni kampaamoon.,Hän oli menossa ensimmäistä kertaa kynsihoitoon.,"Hän oli hermostunut, mutta teknikko oli ystävällinen.",Hän laittoi tytön kynnet nopeasti ja asiantuntevasti.,Anna tunsi itsensä hyvin muodikkaaksi poistuessaan salongista.,Anna piti todella uudesta kampauksestaan.,1
b8c30925-f572-4ac3-b865-1cba592b6f0c,David ja Sarah olivat ystäviä lapsuuden aikana.,"Kun he menivät yliopistoon, kumpikin muutti eri kaupunkiin.",Sarah sai perjantaina odottamattoman puhelun Davidilta.,He söivät illallista ja puhuivat elämästään.,"Sarah oli iloinen siitä, että he saivat toisensa kiinni.",Sarah ja David menivät heti sen jälkeen syömään.,1
0a5489f1-beea-4ad6-a6d5-380ba2abd184,AJ ja hänen äitinsä olivat ruokakaupassa.,"Aj katseli muropakettia, ja kun hän katsoi ylös, hänen äitinsä oli poissa.",Hän alkoi välittömästi tuntea paniikkia.,Sitten hänen äitinsä astui esiin keittovälineiden takaa.,AJ alkoi sitten olla surullinen.,AJ huokaisi helpotuksesta.,2
fe3caede-4b19-410a-b08f-84d71b18e9f4,Joe meni romuttamolle etsimään aarteita.,Hän kaivoi pino vanhoja vaatteita.,"Alareunassa oli vintage-paita, jossa oli rokkibändi.",Joe puki paidan päälleen kokeillakseen sitä.,"Joe oli tyytyväinen, että paita sopi.",Joe vihasi rockmusiikkia sen jälkeen.,1
e689960d-0515-424b-aac3-5d7160ac2577,Priya päätti kokeilla uutta ravintolaa.,"Hän ajoi uuteen kahvilaan, joka oli avattu.",Priya istui kopissa.,Hän tilasi mimosan ja aamiaisburriton.,Priyan mielestä hänen ruokansa oli herkullista.,Priya päätti olla syömättä ja lähti.,1
57d5152a-77db-4156-8330-166edb36b0a2,Karen sai kämppäkaverin ensimmäisenä opiskeluvuotenaan.,Eräänä päivänä hänen kämppäkaverinsa pyysi häntä lähtemään läheiseen kaupunkiin konserttiin.,Karen suostui iloisesti.,Esitys oli aivan riemastuttava.,Karen vihasi kämppistään.,Karen ystävystyi hyvin kämppäkaverinsa kanssa.,2
726a0fc9-8c6f-451e-838b-c48140817dfc,Teimme viime vuonna perheloman rannalle.,Vietin paljon aikaa lukemalla äitini kanssa rannalla.,Eräänä päivänä lukiessani minua pisti hirveä ranta-ampiainen.,"Käteni turposi ja oli kivulias, melkein jouduin sairaalaan.",Lopulta paranin.,Huomasin rakastavani turvoksissa olemista.,1
696b9d6a-40a4-434d-8a01-aec20c4400a3,Donald oli tavallaan luokan pelle.,Hän halusi olla luokan puheenjohtaja.,"Hän ajatteli, että jos hän käyttäytyisi kuin idiootti, ihmiset äänestäisivät häntä.","Hän nousi ylös, huusi ja oli hölmö.",Don vihasi vaaleja.,"Donald toivoi, että tämä typeryys voitti hänelle vaalit.",2
16eeb330-b579-4a0f-a1e6-0b7aad454c54,Eddie ja Angela eivät olleet puhuneet toisilleen pitkään aikaan.,He asuivat talossaan yhdessä kuin tuntemattomat.,"Lopulta he istuivat alas ja sopivat, että oli avioeron aika.",Eddie meni oikeustalolle ja jätti paperit.,He erosivat muutamaa kuukautta myöhemmin.,He rakastuivat uudelleen ja pysyivät yhdessä ikuisesti.,1
ed614284-2364-4b9c-bc02-5e0aad3d8968,Rachel adoptoi kissan yli kymmenen vuotta sitten.,Yhtäkkiä kissa käyttäytyi vaisummin ja laihtui.,Huolestuneena Rachel vei kissansa eläinlääkärille.,"Eläinlääkäri kertoi Rachelille, että hänen kissallaan oli syöpä.",Rachel oli innoissaan kuullessaan uutiset.,Eläinlääkäri hoiti kissan syöpää parhaansa mukaan.,2
87678fdf-ad4e-4ff0-93d0-039fa451b49b,"Jim on uusi kuljettaja, eikä häntä ole koskaan aiemmin pysäytetty.",Eilen hänet pysäytettiin ylinopeudesta.,"Konstaapeli selitti hänelle, miksi hänelle annettiin sakko.",Jim joutuu tekemään ylitöitä maksaakseen lipun.,Jim on hyvin järkyttynyt.,Jim oli iloinen nähdessään upseerin.,1
33882739-51ca-446f-8bd0-2bbf7cfcba37,Rakastan avokadoja.,"Söin voileivän, joka oli niiden peitossa.","Kun olin syönyt sen, suuni kutisi ja kihelmöi.",Puhuin asiasta lääkärini kanssa myöhemmin.,"Hän sanoi, että olin vainoharhainen, ja veloitti minulta 100 dollaria.","Kävi ilmi, että olin allerginen avokadoille.",2
3ef66340-b2fd-4c12-bc1c-b28730b571a1,"David oli kirjailija, jolla oli vaikeuksia löytää inspiraatiota teoksiinsa.","Eräänä päivänä hän näki unta, jossa hän oli maailmanlopun jälkeisessä maailmassa.","Hän ajatteli, että tämä oli kohtalo, ja alkoi kirjoittaa ajatuksiaan.",Lopulta hän kirjoitti satoja sivuja.,Sitten David latasi uuden videonsa.,David julkaisi sitten käsikirjoituksensa.,2
26b26a0d-d7c5-4c50-bb94-bd236cd6b46f,Boris oli riippuvainen videopeleistä.,Hänen äitinsä oli huolissaan.,Hän soitti psykologille saadakseen apua.,Psykologi yritti vakuuttaa Borista lopettamaan riippuvuutensa.,Boris tajusi tuhlaavansa elämäänsä.,Boris päätti käyttää mekkoa.,1
0c0d57aa-92eb-4bb3-8c65-6ce4d89e10a3,Eräs poliisi sairastui tänään flunssaan.,"Hän ei pystynyt menemään töihin, sillä hän pystyi tuskin nousemaan sängystä.","Hänen vaimonsa käytti aikaa huolehtiakseen hänestä ja varmistaakseen, että hän oli kunnossa.","Hän huolehti siitä, että hän joi ja söi riittävästi.",Poliisin oli luovuttava virkamerkistään ja aseestaan.,Poliisi parani lopulta.,2
1ad020f7-a18a-45f9-a112-b9ca83afcad2,Ystäväni Nathan ja hänen perheensä menivät eräänä kesänä järvelle.,Eräänä päivänä Nathanin isä lähti eikä jättänyt sytytintä äidille.,Hänen äitinsä oli hyvin järkyttynyt ja pakotti hänet kävelemään kauppaan paljain jaloin.,Nathan-parka joutui kävelemään soratietä pitkin tuodakseen äitinsä tulitikut.,"Kun Nathan palasi, hän oli hyvin iloinen harjoituksesta.","Kun Nathan palasi, hänen äitinsä pyysi anteeksi, että oli ollut niin ilkeä.",2
31dd2600-d4c3-4f15-a336-cd0c32237d06,Gary oli rohkea lapsi.,Eräänä päivänä hän päätti kiivetä takapihan aidan yli.,Hänen vanhempansa etsivät häntä kaikkialta.,Hänet löydettiin istumasta puiston keinussa.,Garyn vanhemmat olivat helpottuneita hänen löytämisestään.,Garyn vanhemmat olivat pettyneitä löytääkseen hänet.,1
a9982ad1-a78e-4ab3-b9d5-4f3679d3e043,Timmy jäi kiinni maksamattomista parkkisakoista.,Hänellä ei ollut tarpeeksi rahaa maksaa niitä.,Sen sijaan hänet oli pidätettävä ja vangittava kahdeksi päiväksi.,"Hän menetti työpaikkansa, koska jäi pois töistä.","Timmy sai ylennyksen, koska hän teki niin paljon töitä koko ajan.","Timmyn oli sitten löydettävä uusi työpaikka,",2
a62e9212-e75b-4078-ae68-f56a1164dc70,"Kun olin nuorempi, kävin kesäleirillä.",Meillä oli hauskaa leikkiä ohjaajien kanssa.,Lempipuuhaani oli korttipeli.,Leirin ohjaajat tunsivat niin monia erilaisia korttipelejä.,Aikani ministerin kanssa oli hyvin hyödyllistä.,Lempikorttipelini oli pokeri.,2
67cf2fb0-431a-404d-9c9f-826dd2d3472b,Amberilla oli paljon tekemistä tänä sunnuntaina.,"Hän teki listan kaikista paikoista, joihin hänen piti mennä.",Hän kiirehti valmistautumaan.,"Hän oli huolissaan siitä, ettei hänellä olisi tarpeeksi aikaa.",Amber nautti rentouttavasta kahden tunnin brunssista.,"Amberilla oli niin kiire, että hän jätti listan kotiin.",2
dba303f0-ede3-4834-aad4-767eadafa744,Eve tarvitsi uuden sohvan salonkiinsa.,Mutta hänellä ei ollut varaa ostaa sellaista!,Sitten hän meni käytetyn tavaran kauppaan ja löysi upean.,Hän sai sen toimitettua ja pystytettyä olohuoneeseensa.,Hän osti tilalle uuden sohvan.,Eve piti sohvaa erittäin mukavana.,2
7c183d9b-d1fd-414f-8c95-c17132422732,Jason pelkäsi hämähäkkejä.,Hän kävi terapeutilla ja keskusteli pelostaan.,"Hänen terapeuttinsa sanoi, että hänen pitäisi kohdata pelkonsa voittaakseen sen.",Jasonin kotitehtävänä oli etsiä hämähäkkiä hänen kellaristaan.,Hän löysi sieltä erittäin suuren hämähäkin.,Jason otti kuuman suihkun.,1
5b6f539e-eb73-4ca4-b359-a1f85e96effd,Lindalla alkoi olla ongelmia työkaverinsa kanssa työpaikallaan.,Työtoveri oli alkanut komennella häntä töissä.,Työtoveri puhui jopa hänen selkänsä takana.,"Linda meni asiasta pomonsa puheille, ja pomo sovitteli asiaa.",Hänen pomonsa antoi hänelle potkut seuraavana päivänä.,Lindasta ja työkaverista tuli lopulta parhaat ystävät.,2
cb1dd642-75fd-43ae-bb80-d019a2a9cb8e,"Sara halusi, että hänen lapsillaan olisi hieno joulu.",Hän säästi koko vuoden ja aloitti ostokset marraskuussa.,Hän shoppaili tarjouksia ja käytti kaikki säästönsä.,Hän käytti kaksi päivää kymmenien lahjojen pakkaamiseen.,Kaikki lahjat oli pakattu ja varastoitu joulua varten.,Hän palautti kaikki lahjat halvempiin.,1
0f797de2-3d82-46d1-a370-c278a36ad785,Megan on kamppaillut huumeidenkäytön kanssa jo vuosia.,Hän saavutti pohjan menettäessään perheensä ja lapsensa.,Hänen kaukainen perheensä päätti järjestää väliintulon.,Tapahtuman jälkeen hän joutui vieroitushoitoon.,Hän pääsi jonkin ajan kuluttua eroon huumeista.,"Kun hän saapui, hän käytti huumeita koko päivän.",1
6623b60e-9200-4019-9a95-521adc03524d,Tyler on ollut työttömänä jo vuosia.,Hän on viime kuukausina hakenut ahkerasti töitä.,Kaikki hänen hakemuksensa kuitenkin hylätään.,Hylkäämiset lisäävät Tylerin epätoivon tunnetta.,Hän on innoissaan uusista työtehtävistään.,"Hän ymmärtää, että hänen on ehkä haettava julkista apua.",2
57f0ad88-0dad-4cce-95da-30175ff0ba40,Bobbylla oli syntymäpäiväjuhlat.,Hänen ystävänsä ostivat hänelle valtavan kakun.,Nainen hyppäsi kakusta.,Bobby oli yllättynyt ja huvittunut.,Bobbylla oli hyvät juhlat.,Bobby oli vihainen ystävilleen.,1
a5ac20db-ed05-49d7-8960-2035a9dce14d,Se oli lomamme viimeinen päivä.,Söimme lounasta hotellin terassilla.,"Nauroimme ja hymyilimme, koska se oli hieno loma.",Sitten pakkasimme laukkumme ja ajoimme lentokentälle.,Haluamme palata sinne jonain päivänä.,"Me kaikki vannoimme, ettemme enää koskaan palaa sinne.",1
3f191c72-305c-487d-8da0-7335fedc270f,Äiti pyysi lapsia auttamaan pyykin taittamisessa.,Lapset veivät puhtaat vaatteet olohuoneeseen.,He heittivät vaatteet lattialle.,He taittelivat vaatteet siististi kasoihin.,Vaatteet olivat likaisia ja levällään.,Sitten he laittavat vaatteensa siististi.,2
dacd5655-337c-4c89-a87f-edd54067cfb9,Timmy rakastaa piirrettyjen katsomista.,"Vanhemmat eivät anna hänen katsoa elokuvaa, ellei hän tee kotitöitä.",Tämän päivän tehtävä on siivota hänen huoneensa.,Timmyn huone on sekaisin.,Timmy meni ruokalaan aamiaiselle.,"Timmy siivosi koko päivän, jotta hän voisi katsoa televisiota.",2
85cc4bad-5cd3-494f-be90-e3c16e512cab,Tyttäreni piti vauvakutsut bostonilaisessa kodissamme.,Hän kutsui paikalle ystäviä ja sukulaisia.,Hänen vanha opiskelukaverinsa asuu Havaijilla.,Hän päätti yllättää tyttäreni lentämällä 4800 mailia.,Tyttäreni oli pettynyt.,Tyttäreni oli innoissaan.,2
7e12768d-0e37-4940-9dcf-186ba3916660,Juhlat olivat Pamin talossa.,Kaikki ostivat lahjoja.,Pam osti kakun.,Kaikki tanssivat ja pitivät hauskaa!,Pam oli surkea emäntä.,Pam oli hyvä emäntä.,2
d10f40c6-f5f0-4273-82e0-90aa22520588,Ellen on aina vihannut koulua.,Lapset pilkkasivat häntä joka päivä.,Häntä kutsuttiin haisevaksi Ellyksi.,Hän päätti aloittaa kylvyt.,Ellen piti negatiivisesta huomiosta.,Ellen oli kauhuissaan.,2
322525fb-6970-4c56-89ae-375664d8e320,Jim sai ensimmäisen luottokorttinsa yliopistossa.,"Hänellä ei ollut työtä, joten hän osti kaiken kortillaan.",Valmistuttuaan hänellä oli 10 000 dollarin velka.,"Jim tajusi, että oli typerää tuhlata niin paljon rahaa.",Jim päätti laatia takaisinmaksusuunnitelman.,Jim päätti avata toisen luottokortin.,1
9bc05c17-a739-462c-970c-f5279779f3a5,Tim oli osallistumassa leivontakilpailuun.,Hän päätti tehdä kuuluisat donitsinsa.,Hän teki ison erän ja osallistui kilpailuun.,Tuomareiden mielestä ne olivat herkullisia.,Tuomarit oksentivat donitsien mausta.,Tim voitti leivontakilpailun.,2
