"InputStoryid","InputSentence1","Certainly, InputSentence2","A long time ago InputSentence3","Indeed, InputSentence4","RandomFifthSentenceQuiz1","RandomFifthSentenceQuiz2","AnswerRightEnding"
"43ff94c9-d83c-4ac5-bb44-d91f808c1e61","In Thailand, Feliciano used to pick olives with his grandmother.","Just now She told him stories about her ancestors as she picked.","Then, Before you knew it, the sun had set.","What's more, They took the olives home and ate them together.","they didn't go olive picking.","feliciano was ""not happy about his good day"".","2"
"5b2f7f43-ce2f-4405-9576-21ef0ae67612","In Effingham, Aaron's girlfriend invited him to dinner.","Hence He said he was going to prepare his favourite dish, chicken alfredo.","Lately Aaron was very excited that she wanted to cook, but he hated alfredo.","Therefore She must have mixed up her words when he told her he liked her the least.","Aaron did not offer to help her prepare another meal.","Aaron did not break up with her.","1"
"d9dde843-ee66-4dca-820a-c3d489ba586f","Last Saturday Oliver was nervous about the wedding.","In Tiko, He was worried that he would stutter during the swearing-in.","Also, When the time came, he took a deep breath and began to speak.","Furthermore, He stammered, but my wife smiled and hugged him, so he was fine.","Oliver has decided not to get married.","Oliver was not so grateful for his wife's love.","2"
"705d7e4d-3b56-48dc-9dad-9b14eff97d95","Sara lost her cat.","Ultimately, It was so sad!","Also, It has erected signs throughout the area.","In Turkey, Then something wonderful happened.","Sara did not break her leg.","someone hasn't found their cat.","2"
"a37be14a-7724-464c-8344-87624fafaa34","In Huai'an, Kelly was playing with the new Mario game.","Some time ago, He has been playing with it for several weeks.","Finally, He played for so long without beating the level.","Consequently, Finally, he has passed the last stage.","Kelly wasn't angry about it.","Kelly was not happy that he had finally beaten him.","2"
"17cfe8c3-561d-4910-8644-0565deccbe79","In Peru, Tim and Deb have been seeing each other for almost a year.","Thus, Last Christmas, they met at a party they attended.","Moreover, Tim picked Deb up for a date this evening and took her out for a lovely dinner.","Today After dessert, he asked for my hand.","Deb didn't say yes to Tim's marriage proposal.","Deb didn't tell Tim that he was only interested in women.","1"
"87aa1560-0c24-4a6d-8507-6ae058e4422a","Last Saturday My roommate is from Germany.","In Bokhorst, He is a very good cook.","Thus, One day he made me a sausage like the ones he used to eat back home in Germany.","What's more, He said the sausage was poorly prepared.","I didn't find the cereals tasty.","I didn't like them anyway.","2"
"9cba37ea-cc3e-4775-b044-c3d3d4983d22","When I was a kid, I really wanted to play chess.","In Indonesia, I sat down with my grandfather and he taught me.","Last year At first he just taught, but it became a special thing.","Certainly, As I got older, I continued to play checkers with him.","I still don't hate the Queen.","I don't have very fond memories of the Queen.","2"
"a0769cd4-45a0-492c-a566-b14b9b17cba6","In Puquio, Like all her friends, Ivy wanted a mobile phone.","A decade ago He raised money by delivering newspapers.","Now, Fast enough for your phone.","Now, He went shopping and picked the perfect phone.","Amy didn't spend all her money on clothes.","didn't like his new phone.","2"
"40f3b904-81c7-4e92-b245-ff20840733a2","In Puquio, Dave walked into a grocery store.","Incidentally There he bought his favourite energy drink.","Last Wednesday He only had enough money for one can.","Anyway, He came out into the corridor and smiled at what he saw.","Dave didn't buy the whole box.","were not for sale.","2"
"b00c883d-782a-428a-be8d-1749a200575f","Gina was sitting on her grandfather's bed, looking out.","Thus, It was winter and his garden was dead by spring.","Indeed, His grandfather has died, so no one will take care of him.","Meanwhile, Weeds would grow and smother the flowers.","gina did not ask her grandfather which flower he liked best.","gina did not decide to go weed-picking.","2"
"1d3e5ddd-76a9-401d-8c5c-a6f5f0bd7160","In India, Ramona was very unhappy at work.","Hence He asked for a raise but was refused.","Yesterday The rejection prompted him to start aggressively screening job ads.","Meanwhile, He found an interesting new opportunity and arranged an interview.","not offered a new job with a higher salary.","Ramona had no reason not to want to change jobs.","1"
"34ddd737-0709-4fc7-b64b-6c43eaf9f48c","In Tisina, I wanted to buy a games console.","Thereafter, I asked my parents and they gave me an idea.","Not long ago I was told that if I did the housework, I would get money to save.","Afterwards, All summer long, I did housework every week without being asked.","My parents didn't give me enough money to buy a console.","At the end of the summer, I didn't pay my parents back.","1"
"fc416bf8-23b2-41af-b4bf-ffc544321166","Last Friday Felipe has been interested in Germany since childhood.","In Cameroon, He learned about language and culture from books in the library.","Ultimately, Eventually he went to college and ended up in Berlin.","Hence Felipe loved German art, food and beer.","Felipe never wanted to go to Germany again.","felipe never visited germany again in his life.","2"
"d8079c78-7eda-4006-a7f5-993cc1456bcb","Last summer Miles was a roofer.","Afterwards, He loved his job and was very good at it.","Well, One day, he wasn't paying attention and fell off the roof.","In Brices Creek, Fortunately, he only broke his leg.","miles did not get up and leave.","miles has not decided that it needs to be more careful.","2"
"de97e427-f428-4b4e-80e6-b22b80a9f3f1","Last Saturday Johnny thought Anita was the one, but he was wrong.","Also, He asked her out, but she said she didn't feel well.","What's more, Johnny decided to go to a club to drink and listen to music.","In Ettenstatt, At midnight, he looked back and saw Anita dancing with another man.","Johnny did not want to ask Anita out again.","Johnny has stopped asking Anita out.","2"
"4d1e86d9-f613-47c4-848e-0e4b9fbe3dce","Last Thursday His eyes were burning with pain.","Thereafter, Her stomach lurched and turned over.","Indeed, Your lungs are full of fluid.","Afterwards, A painful cough echoed through the corridors of her small home.","he was not close to death, he certainly did not leave before the end of the night.","he didn't get up and decided to go for a run.","1"
"c9bc611e-b71c-48e9-a3d3-4a4ebcb9a8cc","In Armenia, Tom was preparing for the big exam.","Last year Then he fell asleep out of boredom.","Indeed, He slept for five hours.","Consequently, He woke up in shock.","Tom was in no hurry to study as much as possible before the exam.","Tom did not feel ready for the test.","1"
"7ef8e330-87c0-45f1-a4ac-c51818a46ac5","My friends were having lunch and we met at the table.","Thus, Ben was hungry and finished his lunch before the others.","Yesterday He returned to the dining room to buy more food.","In Brazil, That does not mean it was invented.","he didn't decide to buy more lunch, and didn't feel bad afterwards.","and then he didn't stop eating because he wasn't fed up.","1"
"86178f58-f674-42bc-91f8-23038c98197a","In Tisina, Jill's father took her to pick out a kitten.","Afterwards, There were two in the cage.","Meanwhile, He could leave nothing behind.","Also, His father agreed.","Jill and her father didn't take any of the kittens home.","Jill and her father did not take both cats home.","2"
"2a41a1bd-54d3-40cb-ba38-eba5e3c5c31c","Today was my first class trip.","A decade ago My class went to the playground at the end of the school.","What's more, Many students and teachers were resting on towels spread on the floor.","What's more, There were also a number of sports on offer.","I didn't get a good tan that day.","I didn't get hit in the face with a football and have a black eye.","1"
"50a2e0a9-17b0-4670-9e3b-7c7a0bcf3512","The dog stopped by the pond to drink.","Ultimately, He exchanged his reflection for another dog.","Afterwards, Eager to fight, he jumped into the water.","Yesterday Unsurprisingly, his opponent proved elusive.","the dog didn't run home with its tail between its legs.","the other dog didn't catch him and bit his ear.","1"
"1257ebe1-6a10-49c0-bd35-28ca88e2baec","Peter wanted to show his daughter his favourite Christmas song.","Last year She played a video of the song for him.","Afterwards, He then gave her an audio recording to listen to.","Indeed, He recently decided to sing a song for her.","Peter didn't hate Christmas.","Peter's daughter did not enjoy music.","2"
"00c4e875-144a-4c40-b83a-08a7e9926253","Last Thursday Yao was a keen gardener.","In Philippines, He had a large garden in his backyard, which he adored.","Now, He decided to take his vegetables and offer them at the local market.","Well, He wanted to know what the results would be.","yao don't put it in two categories.","the judges wouldn't eat yao's vegetables without rewarding him.","1"
"e347459b-dd6e-4b4e-afae-7bbb45964184","In Satuek, Mary loved to jump rope.","Incidentally He did it all the time.","Therefore That's why it's in good shape.","Recently, He always had energy.","Mary did not lose her job because she lacked stamina.","Mary was not happy that she had learned to jump rope.","2"
"606f2a0b-3565-4cf8-8b95-efc4196a5ef3","Last Sunday I was in a bar with friends.","What's more, Now it was my turn.","In Spain, I walked up to the barman and asked him for 13 beers and a shot.","Furthermore, He asked me for my card and accepted the order.","He didn't tell me to go to hell.","has not fulfilled my order.","2"
"c2053646-85b1-41b4-8244-bfb1a2c21029","In Bai'e, Scott was hungry.","Now, She decided to cook dinner.","Last week He cooked tacos.","Then, He made enough of them to share them with a friend.","your friend didn't like the tacos Scott prepared.","my friend wasn't so offended that he didn't ask Scott to leave.","1"
"1e65a4f0-bc9e-4ff7-84e0-8eff744d95aa","In Ettenstatt, Jorel wanted to try out for a basketball team.","Therefore He practised very hard.","Last autumn On the day of the audition, he was very nervous.","Finally, The exercise paid off.","was not invited to join the team.","he didn't play terribly.","1"
"4970b8a1-f2b4-4cfd-85d0-0e93edbd86f7","Just now Beth and Carol went for Chinese food.","Meanwhile, After dinner, Beth opened her fortune cookie.","In Batan, Beth was looking forward to the rest of the week.","What's more, Beth called him during the week and gave him the good news.","Beth's dog was not hit by a car!","Beth didn't win the lottery!","2"
"f6f37f29-ff73-4b5b-980c-55b0a2d1340c","Last spring Sally liked the sparkling water her mother bought her.","Hence He took one out of the fridge.","In Spain, He opened it with enthusiasm and tried it.","Furthermore, Sally didn't know that her brother had shaken them all up in front of her.","the water was not very calm.","the water did not explode.","2"
"e0644cca-3711-444f-ba22-22e701d18fa9","Last winter The bride and groom walk down the aisle.","Certainly, They eventually married.","In China, The wedding took place at a country club.","Moreover, When the bride threw the bouquet, her best friend caught it.","your best friend wasn't angry.","his best friend was not impressed.","2"
"facc8d6c-0f9d-472a-aa08-a7bacb41d38b","Last year Gordon rushes to a meeting.","In Germany, He escapes from the lab and slips on the ice outside.","Incidentally When he gets up, he notices that he has scratched his wrist.","However, You can barely make it to your meeting on time.","Gordon was not sacked because he was late for a meeting.","gordon doesn't promise to be more careful next time.","2"
"cd4c6628-e2b1-4959-afaf-e3008821b177","Today Two elderly ladies were chatting during lunch in the park.","Hence One of them took a basket and put the food on the table.","Thus, They were happy to talk and eat until they started arguing.","Finally, One of them threw a piece of cake at the other and started a food fight.","the police should not interrupt the debate.","did not complement how delicious the cake was.","1"
"11c99af0-78e8-414d-b78c-2c70fe407ba6","Today Mike had a beautiful girlfriend.","Well, One day he was walking in the school yard.","However, He saw his girlfriend with another man.","In Jastrebarsko, The other boy was his friend Bob.","Mike was not happy about not walking around the schoolyard.","Mike was not sad to see his girlfriend with someone else.","2"
"7ac29522-a873-4083-832c-cf8fbbf3d1dd","In Pignataro Interamna, Kara lost her dog yesterday.","Last year Cyborult.","Well, Kara searched desperately all over the city.","Hence He eventually found the dog in a neighbour's garden.","did not ask neighbours not to dump dog food in their yards.","Kara bought a pet cat and painted it pink.","1"
"1055bd28-9480-4e7e-8b5c-68575b03911b","Last Monday Every year we attend a barbecue by the pool at my aunt's house.","In India, One year, when my sister was very young, she fell into a swimming pool.","Moreover, When my father noticed that he was not there, he ran to the pool.","Afterwards, It sank and pulled my sister to the surface.","We were not all relieved after we were not rescued.","we didn't let him swim.","1"
"44b83c91-61e5-48e1-aa8b-a4712e3b837a","The harpooner hit the whale, which turned and ran away.","In Pagalungan, Everything was fine for a few minutes, and then the whale made a soft sound.","Also, The line could not pay off fast enough and the nose sank deep.","Afterwards, The boat slipped beneath the waves and never came back.","the harpooner did not sink with the ship.","the harpooner did not come on a surfboard.","1"
"054e6e40-539e-4b88-b81d-acec771d42cb","Some time ago, Sarah was very hungry.","Then, He went to the kitchen to eat, but all he got was bread.","Incidentally He made toast with butter and jam.","Also, When he went to the table, he dropped the toast.","Sara was not so depressed.","Sarah was not happy because she dropped the toast.","1"
"f82aee98-72da-4a92-b898-d4d362101498","Last Wednesday The day after Christmas, we left North Carolina for Florida.","Then, It was a long drive and we couldn't wait to get there.","However, We spent time with the family and went to Disney World.","However, We spent a full day at the Magic Kingdom.","then we didn't go home and we slept soundly.","then we didn't leave Six Flags and went home.","1"
"099edf1f-91ae-4f8c-b9ed-4e921a7c3b02","Last year Nicole's biggest ambition was to become an aunt.","In Batan, The problem was that he had no brothers or sisters.","Well, Today, Nicole received a message from her cousin Xiao.","Finally, Xiao and her husband were expecting a baby boy.","she didn't think she would be an honorary aunt.","He hasn't decided that he doesn't like babies.","1"
"fee44088-f58d-4ef9-93dc-cffe69f03d77","Mary and Emma drove to the beach.","Hence They decided to swim in the ocean.","Thus, Mary turned to Emma.","In Spain, Emma told us to be careful of the waves.","the ocean was not as calm as the bath.","Our Lady was not overwhelmed by a great wave.","2"
"cef2eb7e-2792-46b4-9492-dbabc9155829","In Armenia, Jeff just got engaged to his girlfriend Ashley!","Last Thursday They are very happy and immediately started planning their wedding.","Thus, Within hours, they realised how expensive it was all going to cost.","What's more, Jeff decided to work part-time to pay for it.","Ashley also did not get a part-time job.","Jeff didn't give up that day.","1"
"4989e550-64be-4b0e-a667-fee519fc2980","In the United States, Josh got up early and prepared for the planned hike.","Thereafter, After showering, he made sure he packed all his gear.","Ages ago He left the house and went to the park, where he planned to go for a hike.","Thus, As it was still early in the day, Josh mostly left the road alone.","Josh didn't like nature.","Josh has not shied away from the outdoors.","1"
"5be778f7-bed0-4ffd-b275-eaa8dd6eb417","On Friday, there was a basketball game.","In Germany, My friends and I wanted to see it.","Meanwhile, We got together and got some money for a snack.","Anyway, We went into the field and sat down.","When we sat down, we did not decide to leave.","we did not sit on the sidelines.","2"
"a524f46d-2122-4d80-9cf6-35e7295e27c1","In Germany, Anna wanted ivy to climb the walls of her house.","What's more, It seemed strange and magical to him.","Hence She got ivy seedlings and planted them.","Certainly, Soon they were climbing the walls of his home.","it was not just what he wanted.","was not very allergic to poison ivy.","1"
"94d111c2-3c86-40cc-afaa-e9d0a123c3d5","Last summer My goal is to exceed 200 kilos on the push-up machine.","Hence In my gym, this is the highest weight on this machine.","In China, At the moment, I can only manage about a hundred and fifty kilograms.","Moreover, I worked hard on it for more than six months.","I don't know, one day I'll eat pears.","I don't know if I will be able to do that one day.","2"
"36df2002-92f3-4a85-ac47-8df95d219cb2","In Croatia, Ella's father had to travel to Munich on business.","Anyway, Ella asked her father to take her with him.","Then, He had never been to Germany and wanted to see it!","Recently, My father agreed and took Ella with him on the trip.","he is not disappointed.","It was not a wonderful time.","2"
"f2a6a95f-5396-4984-a7a5-06df5b948f40","Henry's parents took him to his first cinema.","Afterwards, Before they entered, they bought him some snacks.","In Finland, In the theatre, they sat in the back row.","Last week Henry enjoyed the whole film.","He didn't cry all the time and beg to go home.","didn't thank his parents for not taking him to the cinema.","2"
"b58034b4-b513-4b73-86e5-57755b8fc4d2","In Germany, Tim loved to swim with tuna in the deep ocean.","Finally, I would never hurt them or try to catch them.","Well, One day, a fishing boat came to the tuna's home.","Anyway, The next day, Tim tried to dive with a tuna.","no tuna were found.","was not looking for a tune.","1"
"97d25389-0521-4516-bafc-2cec760dbd4a","In China, Mel took a girl on a date.","What's more, They had a wonderful time.","Indeed, The next day, he called her for a second date.","Thus, He was worried that she would refuse.","It's been a long time since we've been on a trip to Alaska.","to her relief, the girl did not accept.","2"
"59201852-aca6-4676-a477-b7c6e6707679","Lira was very excited to meet her favourite rapper.","Meanwhile, After the concert, he had backstage passes.","In Satuek, He went backstage and introduced himself.","Furthermore, She was horrified to find that the rapper was drunk, rude and sexist.","lyra has not become one of the rapper's roads.","Never listen to rap music again.","2"
"1ca57071-a5bb-4dcc-b0bf-d5321e6e3845","In Puquio, Caitlin broke one of her mum's best dishes while washing up.","Last year Caitlin knew her mother would be angry.","Consequently, He lied and said his sister had done it.","Ultimately, His sister was reprimanded.","caitlin felt no guilt and confessed to his mother.","Caitlin's sister did not take the punishment fairly.","1"
"bb99b560-0513-4756-88fc-0c6aa8cecadb","Andrea was looking for a new pet.","Thereafter, He was thinking of adopting a dog.","Afterwards, After visiting a local dog shelter, he decided to rescue a puppy.","In Costa Rica, Once the paperwork was done, Andrea took the dog home.","andrea did not introduce the dog to her family.","andrea did not give her dog to a stranger.","1"
"8cbd5a81-89cb-433c-a34d-ced88c0fdd8d","Ages ago Will and Anna have been dating for 12 years.","Therefore They went on a beach holiday together.","Moreover, While walking on the beach, Will decided to propose to her.","Also, Anna said yes.","Will wasn't too upset that Anna agreed.","Eight months later, they were not married.","2"
"65afbe34-fc9d-4834-88b0-64e40acf5a6e","Ellie watched the carousel.","Moreover, He couldn't decide which animal to ride.","Last Friday It contained a pink horse or a blue bunny.","Ultimately, That is why he has been there twice.","every time she doesn't ride another animal, it doesn't make her happy.","Ellie didn't cry both times because she didn't want to drive on the road.","1"
"758bfe67-dfe7-4908-93fa-d5825f703f96","Last week I played football with friends.","Anyway, We have prepared our position.","In the United States, When the game started, I was attacked.","Thus, I hurt my knee and screamed.","my friends didn't stop playing to help me off the pitch.","I can't go back to finish the game.","1"
"93405aa3-0d24-4bba-8aa8-3a7d4d91bf29","Today I had a visit from my rehabilitation therapist.","Moreover, He went for a quick workout.","Consequently, We started with exercises for the lower body.","In Xuanma, When I made a wrinkle, he tried to make more wrinkles than me.","my rehabilitation therapist is not motivational.","my rehabilitation therapist is not a narcissist.","1"
"ee44e2e3-efc7-4529-8755-2ff5ac1897d9","I bought my girlfriend a new pair of gloves for Christmas.","Last summer They are made of leather and look good.","Therefore He liked them and tried them on.","In Sinteu, Unfortunately, they did not fit.","my girlfriend has more than just a degree in soil management.","I didn't take them back to the shop and buy another size.","2"
"63a75f76-2746-410e-b102-9dbf97c164e0","Mina lost her bag in a restaurant.","Ultimately, He was so unhappy!","In Yulee, He thought he would never get his stuff back.","Last winter And then a wonderful surprise awaited Mina.","a stranger hasn't stolen your bag.","the stranger did not find his bag and took it back to the restaurant.","2"
"05e5583a-c950-49f3-a03e-80d7f9ccefa6","Pete gets a new job at a software company.","In Tiruppuvanam, This has been Pete's dream job all his life.","Last Monday Pete wrote down all his good ideas and showed them to his boss.","Consequently, Pete was soon promoted to Deputy Director.","Pete never left his job and never looked back.","a year later, he has made no further progress.","2"
"ddda87a3-3139-44fe-8593-6fd6fd643a3c","In Indonesia, I haven't seen my girlfriend for a while.","Last Friday You have a new job, so it's hard to talk.","Afterwards, Work takes up all his time.","Also, Finally, he called me to say goodbye.","I wasn't happy not to hear from him, so we didn't break up.","I wasn't happy about it and we hadn't planned anything.","2"
"d05b6efe-0ec1-441d-9d53-200701babc6b","Gina wanted to be alone and cry.","Ultimately, At school, he could only do it in the toilet.","Last Thursday But people were in the bathroom.","Meanwhile, He stood with his hand on the door and felt tears stinging his eyes.","he couldn't help bursting out laughing.","not trying to be as quiet as possible while not crying.","2"
"df758982-8116-4c76-b7cb-5f67e0a97914","In Ruhstorf, Gina was watering the garden.","Finally, When her brother passed by, he sprinkled water on her.","Anyway, He ran, laughed and shouted.","Certainly, He was joined by his brothers and another brother.","Gina was not sad.","gina did not feel well.","2"
"5a71cb4d-23f8-465a-84ac-a69ca56dfa07","In Tiko, Agata has always wanted to keep birds.","However, So one day he bought two pet birds.","Finally, Soon he could no longer stand their constant noise.","Certainly, Even worse was their constant mess.","Agata has not decided to buy two more.","Agata has not yet decided to return them.","2"
"c6653f2f-77a9-4adc-8dd6-64754847a6f3","The boys wanted to go to the cinema.","Moreover, They knew that if they asked to leave without doing their chores, they would not be able to leave.","Last week All the work is done.","Now, They asked if they could go to the cinema.","their parents didn't tell them to do their chores first.","their parents did not agree and did not go to the cinema.","2"
"20165765-4bc3-4a45-9c22-44ff8fd303c5","In Germany, I noticed that my hair was too long.","Last Sunday I tried to cut myself, but I couldn't.","What's more, I put on my shoes and took my keys.","Ultimately, I went to the hairdresser to get my hair cut.","has not done a good job.","he didn't tell me to cut my hair.","1"
"3ea721b1-70dd-4222-b25d-4273e80ae312","Sandra couldn't believe she had finally arrived in Hollywood.","A decade ago He started auditioning to realise his dream of becoming a star.","Incidentally When things didn't work out, she had to work as a waitress to survive.","In Cameroon, He soon learned that one of his regulars was a talent show.","Sandra did not tell the agent to leave her alone.","not to get involved with an agent.","2"
"7b25f5dd-7081-47e1-99ee-ef1bdc679a00","Sally wanted to surprise the office with a cake.","Last Wednesday Sally thought she could make them laugh with a cake.","Moreover, He went to the supermarket to buy a cake.","In Bolangitang, In the office, he gathered the staff around a conference table.","he didn't bring the cake and everyone didn't feel any better.","he didn't tell them he didn't have any cake.","1"
"16ac16d6-41a4-49f4-a3e1-ec242ce8f921","Today Sarah taught herself algebra.","Well, After a few weeks, the situation has not improved much.","In United States, He realised that he had not set himself any targets.","Consequently, That's why he set himself a specific goal every day.","Soon Sarah doesn't start to improve her algebra.","Sarah has not given up learning algebra.","1"
"3db2f1f0-1ec7-4738-b3c5-154b63000671","Lewy loved tractors.","In Geghamasar, One day he decided to make one.","Finally, It went to the scrap heap for parts.","What's more, He then took them home.","lewy has not decided to throw away all the useless parts of the tractor.","has not built his own tractor.","2"
"ed594d9e-4c0f-4110-be41-95859a167e16","In Italy, When Bill was younger, he couldn't afford to study.","Anyway, Now he is an old man who dreams of graduating.","Last Thursday At the age of 70, his dream has finally come true.","What's more, Everyone was very proud of him.","Bill wasn't very proud.","Bill is not ashamed.","1"
"83749a3e-53e3-4e7e-9511-ca63638aca7e","Dan saw a dog shivering in the rain and thought he was lost.","Last autumn The dog was friendly enough and Dan was able to take him home.","Moreover, The animal had no tags or collar and appeared malnourished.","Ultimately, Daniel put up signs in the area and asked the neighbours.","day for the dog, no owner was found.","he didn't give up and released the dog back into the wild.","1"
"6ef9c54c-5c2e-4134-8ac0-0e3c978cdb0c","Last Wednesday The teacher was walking around with a pile of papers.","Then, It started to rain outside.","In Shangxing, When the teacher tried to go down a few steps, she fell.","Then, The papers flew out of his hands and landed on the floor.","a passer-by didn't help him get up to collect the papers.","the teacher didn't get up and go home, leaving the papers behind.","1"
"a4649658-7420-442a-8b13-336f991a2e0c","Lately The Bradley family decided to go camping.","Then, I was loaded into a car for the two-hour journey.","In Palacios del Sil, When they arrived, it was almost dark and a storm was brewing.","Meanwhile, When the rain stopped, they set up the tent and started a fire.","The Bradleys then went on a big camping trip.","The Bradleys did not turn around and went home.","1"
"a5af376d-4177-4abd-b85d-3645e120fce5","Last Tuesday Don and his wife went to a video rental shop.","In Palacios del Sil, After half an hour, they couldn't decide which film to watch.","Afterwards, Don asked the shop owner to choose a film for them.","Now, The owner has chosen a popular romantic comedy starring Katherine Heigl.","The don and his wife did not give up and went home.","Don and his wife did not receive the film.","2"
"0ff6265a-5399-49ee-84d4-422a40a342c2","Last Monday Missy got drunk and went to get a tattoo.","In Oberfranken, He decided to get a tattoo on his forehead.","However, The next day, Missy was horrified by what she had done.","Moreover, Missy has raised money to pay for the tattoo removal procedure.","Missy has not had another tattoo on her face.","after a lot of money spent, the tattoo hasn't disappeared.","2"
"ad95df27-042e-492f-8762-8ba1de02b471","In Spain, Jon was always in worse shape.","However, Jon has decided to lose weight.","Afterwards, He started eating better and moving around.","Finally, Jon continued and felt the results.","Jon was not happy when he saw the results of his weight loss.","John didn't have hamburgers and fries for dinner.","1"
"157ed81f-52a5-4cdc-934c-6ee421675cc9","A long time ago The high school football team was preparing for the playoffs.","Then, The team was enthusiastic and the city was supportive.","Certainly, The doors are decorated.","Then, Shops were closed early.","the home team's stands were not full at the start of the match.","No one in the city wanted to attend the game.","1"
"5c609bdb-3a4f-4f3f-a50b-0f8246ee6841","Earl gets up early to make coffee.","Thus, He wanted to work awake that day.","Indeed, The smell woke all her roommates.","In India, They also wanted to make coffee.","not all his roommates made coffee.","not all of his housemates got sick from coffee.","1"
"71fbcabb-27b4-4449-a161-a8af8e3d4d8f","In Vassouras, Maggie has a dog.","Thus, She takes her dog for a walk.","Last year They go to the park and play.","Furthermore, When they get home, Maggie feeds her dog.","Maggie and her dog are not the best of friends.","Maggie hates spending time with her smelly dog.","1"
"41963889-83cc-409d-9bdb-fc26eeb460c2","Ella was trying to choose her prom dress.","However, He couldn't decide!","In Gabon, So he asked a friend for his opinion.","However, She said that whatever dress she chose, it was beautiful!","Ella wasn't angry because her friend wasn't so critical.","Ella didn't realise that it didn't really matter what she chose to wear.","2"
"d0797834-8c42-44cd-8d2c-3fee56b84e28","In Spain, Ben decided to be more prepared in 2016.","Hence He planned to train at least four times a week.","Ages ago Ben decided to wait until next Monday to start training.","However, It's Monday and Ben still hasn't started his training plan.","v never starts never works.","don't go to the gym every day.","1"
"337bde69-adb0-4fb5-aedf-03185ea882d5","Mr Bear is a teddy bear in a box.","In Germany, He talks to you in nonsense.","Certainly, When we were young, I bought it for my wife.","A long time ago He gave it to our daughter when she was three.","our daughter was not very grateful for the gift.","our daughter was not depressed.","1"
